games: 17, white: 52%, black: 5%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. c3 c5 8. O-O
games: 17, white: 52%, black: 5%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Nf3 Be7 6. Bd3 Ngf6 7. c3 c5 8. O-O
games: 17, white: 52%, black: 5%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Bd3 Ngf6 6. Nf3 Be7 7. c3 c5 8. O-O
games: 17, white: 52%, black: 5%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nf6 5. Bd3 Be7 6. Nf3 Nbd7 7. c3 c5 8. O-O
games: 17, white: 52%, black: 5%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Be7 5. Nf3 Nf6 6. Bd3 Nbd7 7. c3 c5 8. O-O
games: 17, white: 52%, black: 5%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Be7 5. Nf3 Nd7 6. Bd3 Ngf6 7. c3 c5 8. O-O
games: 17, white: 52%, black: 11%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Ng3 Nd7 7. Bd3 Ngf6 8. O-O Be7 9. Qe2 O-O 10. Rd1 Bxf3 
games: 17, white: 52%, black: 11%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Ng3 Nd7 7. Bd3 Ngf6 8. O-O Be7 9. Qe2 O-O 10. Rd1 Bxf3 11. Qxf3
games: 19, white: 52%, black: 10%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Ng3 Nd7 7. Bd3 Ngf6 8. O-O Be7 9. Qe2 O-O 10. Rd1 Bxf3 11. Qxf3 c6 
games: 249, white: 51%, black: 14%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nf6 5. Nxf6+
games: 49, white: 51%, black: 24%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Qd5 5. Bd3
games: 49, white: 51%, black: 8%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Ng3 Nd7 7. Bd3 Ngf6 8. O-O Be7 9. Qe2 O-O 
games: 136, white: 50%, black: 19%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Qd5 
games: 80, white: 50%, black: 15%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Qd5 5. Nc3
games: 10, white: 50%, black: 20%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Qd5 5. Qd3
games: 10, white: 50%, black: 20%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Bd3 c5 
games: 106, white: 50%, black: 17%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Qd5 5. Nc3 Bb4 
games: 84, white: 50%, black: 19%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Neg5
games: 16, white: 50%, black: 18%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 b6 
games: 16, white: 50%, black: 18%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Bd3 Ngf6 6. Nf3 b6 
games: 18, white: 50%, black: 16%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nf6 5. Bd3 Be7 6. Nf3 Bd7 
games: 18, white: 50%, black: 16%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Be7 5. Nf3 Nf6 6. Bd3 Bd7 
games: 14, white: 50%, black: 28%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 c5 7. Bg5
games: 222, white: 50%, black: 12%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. Qe2
games: 222, white: 50%, black: 12%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Nf3 Be7 6. Bd3 Ngf6 7. Qe2
games: 222, white: 50%, black: 12%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Bd3 Ngf6 6. Qe2 Be7 7. Nf3
games: 14, white: 50%, black: 28%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Bd3 Ngf6 6. Nf3 c5 7. Bg5
games: 222, white: 50%, black: 12%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Bd3 Ngf6 6. Nf3 Be7 7. Qe2
games: 222, white: 50%, black: 12%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nf6 5. Bd3 Be7 6. Nf3 Nbd7 7. Qe2
