games: 22, white: 45%, black: 9%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nh6 8. Bd3 Nf5 
games: 22, white: 45%, black: 9%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. Be2 cxd4 7. cxd4 Nh6 8. Bd3 Nf5 
games: 17, white: 52%, black: 17%, pgn:1. e4 c5 2. c3 e6 3. d4 b6 4. Nf3 Bb7 5. Bd3 cxd4 6. cxd4 Nf6 7. Nc3 Bb4 
games: 20, white: 50%, black: 15%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O Rc8 8. dxc5
games: 20, white: 50%, black: 15%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. Be2 Bd7 7. O-O Rc8 8. dxc5
games: 15, white: 60%, black: 26%, pgn:1. e4 c5 2. c3 e6 3. d4 b6 4. Nf3 Bb7 5. Bd3 Nf6 6. Qe2 Be7 7. e5 Nd5 
games: 77, white: 54%, black: 20%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 Qxd5 5. Nf3 Nf6 6. Na3 cxd4 7. Nb5 Qd8 
games: 12, white: 50%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 a6 4. Nf3 d5 5. exd5 Qxd5 6. Be2 cxd4 7. cxd4
games: 12, white: 50%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. Nf3 Nc6 6. Bb5 a6 7. Bxc6+ bxc6 8. O-O
games: 24, white: 50%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Ne7 5. Nf3 Nec6 6. Bd3 b6 7. O-O Ba6 8. Bxa6
games: 24, white: 50%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Ne7 5. Nf3 Nec6 6. Bd3 b6 7. O-O Ba6 8. Bxa6 Nxa6 
games: 76, white: 56%, black: 23%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 Nc6 5. Ngf3 Nf6 6. e5 Nd7 7. Bd3 g6 8. h4 Qb6 
games: 49, white: 53%, black: 20%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 Qxd5 5. Nf3 Nf6 6. Na3 cxd4 7. Nb5 Qd8 8. Qxd4
games: 21, white: 52%, black: 19%, pgn:1. e4 c5 2. c3 e6 3. d4 a6 4. Nf3 b5 
games: 15, white: 46%, black: 13%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Nge7 6. Bd3 cxd4 7. cxd4 Nf5 8. Bc2
games: 15, white: 46%, black: 13%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Ne7 5. Nf3 Nbc6 6. Bd3 cxd4 7. cxd4 Nf5 8. Bc2
games: 42, white: 40%, black: 7%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. Nf3 Nf6 6. Bg5
games: 257, white: 53%, black: 21%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 Nc6 5. Ngf3 Nf6 6. e5 Nd7 7. Bd3 g6 8. h4
games: 53, white: 50%, black: 18%, pgn:1. e4 c5 2. c3 e6 3. d4 Nf6 4. e5 Nd5 5. Nf3 cxd4 6. cxd4 d6 7. Bc4 dxe5 8. dxe5
games: 53, white: 50%, black: 18%, pgn:1. e4 c5 2. c3 e6 3. d4 Nf6 4. e5 Nd5 5. Nf3 cxd4 6. Bc4 d6 7. cxd4 dxe5 8. dxe5
