games: 206, white: 42%, black: 28%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 Nh6 7. b4 cxd4 8. cxd4 Nf5 9. Bb2 Be7 , forced: 0
games: 167, white: 44%, black: 28%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Bd7 6. Be2 f6 7. O-O fxe5 8. Nxe5 Nxe5 9. dxe5 Qc7 , forced: 1
games: 1910, white: 28%, black: 20%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 Nb6 , forced: 1
games: 128, white: 43%, black: 23%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 c4 7. Nbd2 Bd7 , forced: 0
games: 187, white: 34%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 6. d4 cxd4 7. cxd4 d6 8. O-O Be7 9. Qe2 O-O 10. Re1, forced: 1
games: 219, white: 36%, black: 22%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Nge7 6. Na3 cxd4 7. cxd4 Nf5 , forced: 2
games: 187, white: 34%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 6. d4 cxd4 7. cxd4 d6 8. Qe2 Be7 9. O-O O-O 10. Re1, forced: 1
games: 657, white: 33%, black: 24%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 e6 , forced: 1
games: 79, white: 45%, black: 17%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Bg4 6. Be2 cxd4 7. cxd4 e6 8. Nc3 Qa5 9. h3 Bh5 10. d5, forced: 2
games: 187, white: 34%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 6. d4 d6 7. O-O cxd4 8. cxd4 Be7 9. Qe2 O-O 10. Re1, forced: 1
games: 187, white: 34%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 6. O-O d6 7. d4 cxd4 8. cxd4 Be7 9. Qe2 O-O 10. Re1, forced: 1
games: 187, white: 34%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 cxd4 6. cxd4 d6 7. Bc4 e6 8. O-O Be7 9. Qe2 O-O 10. Re1, forced: 1
