games: 460, white: 34%, black: 22%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4 c5 7. O-O, forced: 0
games: 64, white: 67%, black: 12%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4 c5 7. c4 cxd4 8. Nxd4, forced: 1
games: 64, white: 67%, black: 12%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. c4 c5 7. d4 cxd4 8. Nxd4, forced: 1
games: 717, white: 33%, black: 22%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 , forced: 0
games: 64, white: 67%, black: 12%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 c5 6. c4 d6 7. d4 cxd4 8. Nxd4, forced: 1
games: 64, white: 67%, black: 12%, pgn:1. b3 Nf6 2. Bb2 g6 3. c4 Bg7 4. g3 c5 5. Bg2 O-O 6. Nf3 d6 7. d4 cxd4 8. Nxd4, forced: 2
games: 251, white: 40%, black: 25%, pgn:1. b3 Nf6 2. Bb2 c5 3. Nf3 d5 , forced: 0
games: 195, white: 40%, black: 23%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 5. e3, forced: 0
games: 420, white: 33%, black: 21%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 c5 4. e3 d5 , forced: 0
games: 85, white: 42%, black: 11%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. e3 O-O 6. Nc3 b6 7. d4 Bb7 8. Bd3, forced: 0
games: 95, white: 40%, black: 13%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4 c5 7. c4 Ne4 8. O-O, forced: 0
games: 104, white: 39%, black: 13%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. e3 O-O 6. Nc3 b6 7. d4 Bb7 , forced: 0
games: 95, white: 40%, black: 13%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. c4 c5 7. d4 Ne4 8. O-O, forced: 0
games: 577, white: 32%, black: 21%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. g3 O-O , forced: 1
games: 95, white: 40%, black: 13%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 c5 6. c4 d6 7. d4 Ne4 8. O-O, forced: 0
games: 95, white: 40%, black: 13%, pgn:1. b3 Nf6 2. Bb2 g6 3. c4 Bg7 4. g3 c5 5. Bg2 O-O 6. Nf3 d6 7. d4 Ne4 8. O-O, forced: 1
games: 125, white: 41%, black: 19%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 5. g3, forced: 0
games: 85, white: 43%, black: 14%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O a5 8. d3 Na6 , forced: 0
