white: 50%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 Bg4 5. Be2 e6 
white: 40%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. d5 Nbd7 6. Nc3
white: 45%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. f4 Bg7 6. Be3
white: 47%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 a6 5. Nf3 g6 6. Bd3
white: 40%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 a6 5. Nf3 g6 6. h3
white: 42%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Qxd4 Nc6 6. Bb5
white: 41%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Qxd4 Nc6 6. Qd3
white: 43%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Qxd4 Nc6 6. Qa4
white: 45%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bc4 d3 6. Bxd3
white: 44%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Nxc3 e6 6. Bd3
white: 43%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Nxc3 Nf6 6. Bg5
white: 50%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 e6 6. Qe2
white: 44%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 Nc6 6. O-O
white: 43%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 Nc6 6. h3
white: 47%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 a6 6. O-O
white: 43%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 d3 5. Bxd3 e6 6. Bc4
white: 38%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 d3 5. Qxd3 Nc6 6. c4
white: 41%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 g6 5. Nxd4 Nf6 6. f3
white: 50%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. Nf3 Nbd7 6. h3
white: 45%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. d5 Nbd7 6. c4
white: 31%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. dxc5 d5 5. exd5 Qxd5 6. Qxd5
white: 50%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 e6 5. Be3 Nc6 6. Qd2
white: 44%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 Qc7 5. Bd3 e5 6. d5
white: 50%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 Qc7 5. Bb5 e6 6. Bxd7+
white: 44%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Bd3 Qc7 5. Nf3 e5 6. d5
white: 46%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. f4 g6 5. Nf3 Bg7 6. d5
white: 44%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 Nd7 5. Bd3 e5 6. d5
white: 50%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 Nd7 5. Bb5 e6 6. Bxd7+
white: 44%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Bd3 Nd7 5. Nf3 e5 6. d5
white: 43%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 Nbd7 
white: 45%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. f4 cxd4 
white: 45%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4
white: 44%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 Nc6 5. Ne2
white: 44%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 Nbd7 5. Be3
white: 43%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Qxd4 Nc6 
white: 38%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 d3 5. c4 g6 
white: 42%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 g6 5. Nxd4 Bg7 
white: 47%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 Qc7 5. Bf4 e5 
white: 47%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 Nd7 5. Bf4 e5 
white: 39%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Bd3 Nc6 6. d5
white: 49%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. f3 a6 6. Be3
white: 43%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bd3 Bg4 6. O-O
white: 43%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 Nc6 5. Ne2 e5 6. O-O
white: 39%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 cxd4 5. cxd4 Nc6 6. d5
white: 43%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 cxd4 5. Nf3 Bg4 6. O-O
white: 42%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. Nf3 cxd4 6. O-O
white: 43%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. Ne2 Nc6 6. O-O
white: 49%, black: 49%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 cxd4 5. cxd4 a6 6. Be3
white: 45%, black: 48%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3
