white: 39%, black: 51%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. Bd3 Ne7 6. Nxd4
white: 46%, black: 51%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nf6 5. O-O d5 6. Re1
white: 41%, black: 51%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. d3 Nge7 5. f4 d5 6. Nf3
white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. d3 Nd4 
white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Nxd4
white: 45%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. a4 a6 5. Bd3
white: 40%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 5. Bd3
white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. Nxd4
white: 41%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. d3 Nge7 5. f4
white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Nxd4 cxd4 
white: 38%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Bd3 Ne7 
white: 41%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 e6 5. d3 Nf6 
white: 41%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 Nf6 5. d3 e6 
white: 38%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nge2 a6 5. Bd3 Nc6 
white: 48%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nge2 g6 5. d3 Bg7 
white: 47%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. a4 Nxb5 5. axb5 b6 
white: 44%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nf3 Bg7 5. d3 Nd4 
white: 48%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nge2 Bg7 5. d3 Nd4 
white: 48%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nge2 Nd4 5. d3 Bg7 
white: 44%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. d3 Bg7 5. Nf3 Nd4 
white: 48%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. d3 Nd4 5. Nge2 Bg7 
white: 42%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Bxc6 bxc6 5. f4 c4 
white: 45%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Bxc6 bxc6 5. e5 d6 
white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. Nxd4 cxd4 
white: 38%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. Bd3 Ne7 
white: 45%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bc4 g6 6. d3
white: 45%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 g6 5. Bc4 a6 6. d3
white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Nxd4 cxd4 6. Ne2
white: 50%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Ba4 Ne7 6. O-O
white: 46%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 Nf6 5. O-O a6 6. Bc4
white: 35%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 e6 5. Nge2 Ne7 6. a3
white: 44%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 e6 5. d3 a6 6. f4
white: 38%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 e6 5. d3 Ne7 6. Nf3
white: 45%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 g6 5. Nf3 a6 6. d3
white: 45%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 a6 5. Nf3 g6 6. d3
white: 45%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nge2 g6 5. Nxd4 cxd4 6. Nb1
white: 46%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nf3 Bg7 5. h3 Nd4 6. O-O
white: 45%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nf3 Nd4 5. Bc4 a6 6. d3
white: 30%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 5. Bc4 Bg7 6. Nce2
white: 45%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nge2 Nd4 5. Nxd4 cxd4 6. Nb1
white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. Nxd4 cxd4 6. Ne2
white: 50%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. Ba4 Ne7 6. O-O
white: 44%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nf6 5. O-O d5 6. Bxc6+
white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 d6 4. d4 cxd4 5. Qxd4 Bd7 6. Qe3
white: 43%, black: 49%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 
white: 40%, black: 49%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 5. Bd3 Bg7 
white: 45%, black: 49%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 d6 4. f4 Bd7 5. a4 g6 
white: 42%, black: 49%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3 g6 6. O-O
white: 43%, black: 49%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Nxd4 cxd4 6. Nb1
white: 43%, black: 49%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 e6 5. d3 Ne7 6. Nge2
white: 44%, black: 49%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nf3 Bg7 5. Bxc6 bxc6 6. b3
white: 44%, black: 49%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Bxc6 bxc6 5. d3 Ne7 6. Nf3
white: 45%, black: 49%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nge7 5. O-O a6 6. Bd3
white: 43%, black: 49%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. Nxd4 cxd4 6. Nb1
white: 46%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. a4
white: 45%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. a4 a6 
white: 45%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. a4 g6 
white: 46%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. a4 e6 
white: 43%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Be2
white: 44%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 e6 5. d3
white: 50%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 d6 5. f4
white: 51%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nge2 g6 5. d3
white: 44%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nf3 Bg7 5. h4
white: 45%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nge2 Bg7 5. d3
white: 51%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nge2 Nd4 5. d3
white: 51%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. d3 Nd4 5. Nge2
white: 43%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Bd3 Nc6 
white: 43%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 Nf6 5. O-O Qc7 
white: 40%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 e6 5. a3 g6 
white: 48%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 5. Bc4 d6 
white: 43%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. Bd3 Nc6 
white: 46%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 d6 4. f4 Bd7 5. d3 e6 
white: 44%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 d6 4. f4 Bd7 5. d3 Nd4 
white: 43%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3 g6 6. Rb1
white: 44%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3 g6 6. b3
white: 44%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3 d6 6. O-O
white: 45%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. O-O a6 6. Be2
white: 45%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 e6 5. d3 a6 6. a4
white: 43%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 e6 5. d3 Nf6 6. Nge2
white: 43%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 Nf6 5. d3 e6 6. Nge2
white: 43%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nf3 Bg7 5. d3 Nd4 6. O-O
white: 43%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. d3 Bg7 5. Nf3 Nd4 6. O-O
white: 46%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. d3 Nd4 5. Bc4 Bg7 6. a3
white: 45%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. O-O a6 6. Be2
white: 46%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nf6 5. Bxc6 bxc6 6. b3
white: 48%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e5 4. f4 d6 5. d3 exf4 6. Bxf4
white: 50%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. a4 Nxb5 
white: 48%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 e6 5. a3
white: 50%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. a4 Nxb5 5. axb5
white: 46%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nge2 Bg7 5. O-O
white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3 g6 
white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Ba4 Ne7 
white: 46%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 e6 5. d3 a6 
white: 49%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 e6 5. a3 Ne7 
white: 50%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 g6 5. Nge2 Nc6 
white: 50%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nge2 g6 5. Bc4 Nc6 
white: 49%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. a4 e6 5. Nf3 Ne7 
white: 49%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nf3 Bg7 5. h3 Nd4 
white: 50%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nge2 Bg7 5. O-O e6 
white: 50%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nge2 Nd4 5. Bc4 Nc6 
white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. Ba4 Ne7 
white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3 g6 6. Nxd4
white: 52%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3 e6 6. Rb1
white: 45%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Bd3 Nc6 6. O-O
