white: 34%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. O-O Nc6 6. d4 g5 7. g3 Bh3 
white: 34%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. O-O Nc6 7. g3 Bh3 
white: 34%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. d4 Be7 6. O-O g5 7. Nc3 h6 
white: 33%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. O-O g5 6. d4 Bg7 7. g3 g4 
white: 34%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. O-O g5 6. d4 h6 7. g3 Bh3 
white: 34%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. O-O Be7 6. d4 g5 7. Nc3 h6 
white: 30%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. O-O Bg7 7. h4 Be6 8. d5
white: 30%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. h4 Bg7 7. O-O Be6 8. d5
white: 35%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. O-O g5 6. c3 Bg7 7. d4 Nc6 8. g3 Bh3 
white: 35%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. O-O Bg7 7. c3 Nc6 8. g3 Bh3 
white: 35%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. O-O Bg7 7. g3 Nc6 8. c3 Bh3 
white: 35%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. h4 Nf6 6. Nc3 Be7 7. d4 Nh5 8. Ne2 Bg4 
white: 35%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. h4 Nf6 6. Nc3 Bg4 7. d4 Nh5 8. Ne2 Be7 
white: 35%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. h4 Nf6 6. d4 Nh5 7. Nc3 Bg4 8. Ne2 Be7 
white: 35%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. h4 Nf6 6. d4 Nh5 7. Nc3 Be7 8. Ne2 Bg4 
white: 23%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. d4 Be7 6. Bxf4 Nf6 7. Nc3 O-O 8. h3 Nxe4 
white: 35%, black: 61%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. O-O g5 6. d4 Bg7 7. c3 h6 8. g3 Bh3 
white: 39%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. O-O Nc6 6. c3
white: 37%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. O-O g5 6. c3 Nc6 
white: 37%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. O-O Nc6 6. c3 g5 
white: 26%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. h4 Qf6 
white: 36%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. d4 Bg4 6. Bxf4 Qf6 
white: 37%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. O-O g5 6. c3 h6 
white: 35%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. O-O Nc6 6. Nc3 g5 7. h4
white: 32%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. O-O g5 6. c3 Bg7 7. Qb3 Qe7 
white: 30%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. d4 Bg4 6. c3 Nf6 7. Qb3 Qd7 
white: 36%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. O-O g5 6. d4 Bg7 7. c3 Qe7 
white: 34%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. O-O g5 6. d4 Bg7 7. Nc3 Bg4 
white: 34%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. O-O g5 6. Nc3 Bg7 7. d4 Bg4 
white: 40%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. O-O g5 6. g3 Nc6 7. gxf4 g4 8. Ne1
white: 40%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. O-O Nc6 6. d4 g5 7. g3 Bh3 8. gxf4
white: 40%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. O-O Nc6 7. g3 Bh3 8. gxf4
white: 40%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. O-O g5 6. d4 h6 7. g3 Bh3 8. gxf4
white: 40%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. O-O Nc6 6. d4 g5 7. g3 Bh3 8. gxf4 Bxf1 
white: 26%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. O-O Bg7 7. h4 Be6 8. d5 Bg4 
white: 40%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. O-O Nc6 7. g3 Bh3 8. gxf4 Bxf1 
white: 34%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. h4 Bg7 7. c3 c6 8. O-O b5 
white: 26%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. h4 Bg7 7. O-O Be6 8. d5 Bg4 
white: 34%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. c3 Bg7 7. h4 c6 8. O-O b5 
white: 40%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. h4 Nf6 6. Nc3 Nc6 7. d4 Nh5 8. Nd5 Be6 
white: 40%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. h4 Nc6 6. d4 Nf6 7. Nc3 Nh5 8. Nd5 Be6 
white: 40%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. Nc3 Nc6 6. h4 Nf6 7. d4 Nh5 8. Nd5 Be6 
white: 40%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. O-O g5 6. d4 h6 7. g3 Bh3 8. gxf4 Bxf1 
white: 34%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. O-O Nc6 6. Nc3 g5 7. d4 Bg7 8. Ne2 Nf6 9. Qd3
white: 40%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. O-O Nc6 6. Nc3 g5 7. h4 Bg7 8. Nd5 Bg4 9. c3
white: 34%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. O-O g5 6. d4 Bg7 7. Nc3 h6 8. Ne2 Nf6 9. Qd3
white: 32%, black: 60%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Nc6 5. O-O g5 6. h4 h6 7. d4 Bg4 8. Nc3 Bg7 9. Bb5
