white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 g4 6. Nh4 Bg7 7. d4 Nc6 8. Bc4 f3 9. Be3 Nf6 10. Qd2
white: 25%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 g4 6. Nh4 Bg7 7. d4 Nc6 8. Bc4 f3 9. Be3 Nf6 10. Qd2 Qe7 11. O-O-O
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 Bg7 7. d4 h6 8. Be3 Bg4 9. Bg2 Nc6 10. Qd2 Qe7 11. O-O-O O-O-O 
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 Bg7 7. d4 h6 8. Be3 Bg4 9. Bg2 Nc6 10. Qd2 Qe7 11. Nd5
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 Bg7 7. d4 h6 8. Bg2 Bg4 9. Be3 Nc6 10. Qd2 Qe7 11. O-O-O O-O-O 
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 Bg7 7. d4 h6 8. Bg2 Bg4 9. Be3 Nc6 10. Qd2 Qe7 11. Nd5
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 h6 7. d4 Bg7 8. Be3 Bg4 9. Bg2 Nc6 10. Qd2 Qe7 11. O-O-O O-O-O 
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 h6 7. d4 Bg7 8. Be3 Bg4 9. Bg2 Nc6 10. Qd2 Qe7 11. Nd5
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 h6 7. d4 Bg7 8. Bg2 Bg4 9. Be3 Nc6 10. Qd2 Qe7 11. O-O-O O-O-O 
white: 33%, black: 66%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 h6 7. d4 Bg7 8. Bg2 Bg4 9. Be3 Nc6 10. Qd2 Qe7 11. Nd5
