games: 11387, white: 46%, black: 44%, pgn:1. b3 Nf6 2. e3 g6 3. Nf3 Bg7 
games: 3483, white: 44%, black: 47%, pgn:1. b3 Nf6 2. e3 g6 3. Bb2 c5 
games: 6827, white: 47%, black: 46%, pgn:1. b3 Nf6 2. Bb2 e6 3. e3 c5 
games: 11387, white: 46%, black: 44%, pgn:1. b3 Nf6 2. Nf3 g6 3. e3 Bg7 
games: 1623, white: 42%, black: 50%, pgn:1. b3 e5 2. c4 Nf6 3. Nc3
games: 6827, white: 47%, black: 46%, pgn:1. b3 Nf6 2. Bb2 c5 3. e3 e6 
games: 6827, white: 47%, black: 46%, pgn:1. b3 c5 2. Bb2 Nf6 3. e3 e6 
games: 3483, white: 44%, black: 47%, pgn:1. b3 c5 2. Bb2 Nf6 3. e3 g6 
games: 6827, white: 47%, black: 46%, pgn:1. b3 c5 2. Bb2 e6 3. e3 Nf6 
games: 1361, white: 42%, black: 52%, pgn:1. b3 c5 2. e4 Nc6 3. Nc3 e6 
games: 21862, white: 48%, black: 44%, pgn:1. b3 e5 2. Bb2 Nc6 3. c4 Nf6 
games: 3483, white: 44%, black: 47%, pgn:1. b3 c5 2. e3 Nf6 3. Bb2 g6 
games: 6827, white: 47%, black: 46%, pgn:1. b3 c5 2. e3 Nf6 3. Bb2 e6 
games: 1378, white: 43%, black: 52%, pgn:1. b3 Nf6 2. e3 g6 3. Nc3 Bg7 
games: 1361, white: 42%, black: 52%, pgn:1. b3 c5 2. e4 e6 3. Nc3 Nc6 
games: 6827, white: 47%, black: 46%, pgn:1. b3 c5 2. e3 e6 3. Bb2 Nf6 
games: 21862, white: 48%, black: 44%, pgn:1. b3 e5 2. c4 Nc6 3. Bb2 Nf6 
games: 21862, white: 48%, black: 44%, pgn:1. b3 e5 2. c4 Nf6 3. Bb2 Nc6 
games: 48469, white: 48%, black: 43%, pgn:1. b3 Nf6 2. Bb2 e6 3. e3
games: 10135, white: 47%, black: 45%, pgn:1. b3 c5 2. e4 Nf6 3. e5 Nd5 
games: 6827, white: 47%, black: 46%, pgn:1. b3 e6 2. Bb2 Nf6 3. e3 c5 
games: 1930, white: 44%, black: 50%, pgn:1. b3 d5 2. Bb2 Bg4 3. f3 Bf5 
games: 6827, white: 47%, black: 46%, pgn:1. b3 e6 2. Bb2 c5 3. e3 Nf6 
games: 6827, white: 47%, black: 46%, pgn:1. b3 e6 2. e3 Nf6 3. Bb2 c5 
games: 48469, white: 48%, black: 43%, pgn:1. b3 e6 2. Bb2 Nf6 3. e3
games: 6827, white: 47%, black: 46%, pgn:1. b3 e6 2. e3 c5 3. Bb2 Nf6 
games: 48469, white: 48%, black: 43%, pgn:1. b3 e6 2. e3 Nf6 3. Bb2
games: 8429, white: 47%, black: 45%, pgn:1. b3 d5 2. g3 Nf6 3. Bb2
games: 1482, white: 42%, black: 50%, pgn:1. b3 Nf6 2. e3 g6 3. d4 Bg7 
games: 17318, white: 48%, black: 44%, pgn:1. b3 Nf6 2. e3 d6 3. Bb2
games: 8429, white: 47%, black: 45%, pgn:1. b3 Nf6 2. Bb2 d5 3. g3
games: 8429, white: 47%, black: 45%, pgn:1. b3 Nf6 2. g3 d5 3. Bb2
games: 3536, white: 45%, black: 47%, pgn:1. b3 c5 2. Bb2 Nc6 3. g3
games: 1325, white: 41%, black: 50%, pgn:1. b3 c5 2. e4 Nc6 3. Nc3 Nf6 
games: 1325, white: 41%, black: 50%, pgn:1. b3 c5 2. e4 Nf6 3. Nc3 Nc6 
games: 1494, white: 43%, black: 50%, pgn:1. b3 e5 2. g3
