games: 3844, white: 47%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 c6 5. Bc4 Bf5 
games: 3312, white: 45%, black: 43%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. h3 c6 6. d4
games: 3844, white: 47%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Bf5 5. Bc4 c6 
games: 915, white: 43%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. h3 Bf5 6. Nf3 e6 
games: 6615, white: 48%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Bc4 Bf5 
games: 3312, white: 45%, black: 43%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 c6 5. d4 Nf6 6. h3
games: 915, white: 43%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. h3 Bf5 6. d4 e6 
games: 6615, white: 48%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Bf5 5. Bc4 Nf6 
games: 3844, white: 47%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 c6 5. Nf3 Bf5 
games: 3312, white: 45%, black: 43%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 c6 5. h3 Nf6 6. d4
games: 6615, white: 48%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. Nf3 Bf5 
games: 3312, white: 45%, black: 43%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 Nf6 5. Nf3 c6 6. d4
games: 915, white: 43%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 Nf6 5. Nf3 Bf5 6. d4 e6 
games: 3312, white: 45%, black: 43%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 Nf6 5. d4 c6 6. Nf3
games: 915, white: 43%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 Nf6 5. d4 Bf5 6. Nf3 e6 
games: 3312, white: 45%, black: 43%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 c6 5. Nf3 Nf6 6. d4
games: 2203, white: 46%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. Bf4 c6 
games: 8394, white: 47%, black: 43%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 c6 5. Nf3 Bf5 
