games: 1485, white: 44%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Bd3 c5 6. Ngf3
games: 27945, white: 48%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. c3 c5 5. e5 Nfd7 6. Ngf3 Nc6 
games: 27945, white: 48%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. c3 c5 5. Ngf3 Nc6 6. e5 Nd7 
games: 1465, white: 45%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ne4 5. Bd3 f5 
games: 1355, white: 43%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Ngf3 Bd6 
games: 1494, white: 44%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 c5 5. c3 cxd4 6. cxd4 dxe4 
games: 692, white: 41%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 Be7 5. Ne2 dxe4 6. Nxe4 Nbd7 7. O-O
games: 8943, white: 46%, black: 44%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 Be7 5. Ngf3 c5 
games: 494, white: 37%, black: 51%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 Be7 5. Ne2 dxe4 6. Nxe4 Nbd7 7. c3
games: 5651, white: 48%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Ndf3 c5 6. Ne2 Nc6 
games: 1494, white: 44%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. c3 c5 5. Bd3 cxd4 6. cxd4 dxe4 
games: 27837, white: 49%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. c3 c5 6. Ngf3
games: 24989, white: 49%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Ngf3 c5 
games: 27837, white: 49%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Ngf3 c5 6. c3
games: 638, white: 42%, black: 50%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 c5 5. exd5 exd5 6. Ngf3 c4 7. Be2
games: 30357, white: 48%, black: 44%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 c5 
games: 2200, white: 44%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Ngf3
games: 638, white: 42%, black: 50%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Ngf3 c5 6. Bd3 c4 7. Be2
games: 27837, white: 49%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. c3 c5 5. e5 Nfd7 6. Ngf3
games: 638, white: 42%, black: 50%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Bd3 c5 6. Ngf3 c4 7. Be2
games: 9921, white: 47%, black: 44%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Bd3 c5 6. c3 b6 
games: 9921, white: 47%, black: 44%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Bd3 b6 6. c3 c5 
games: 9921, white: 47%, black: 44%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. c3 c5 6. Bd3 b6 
