games: 973, white: 39%, black: 53%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f4 O-O 6. Bd3 Nc6 
games: 112013, white: 50%, black: 42%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 O-O 6. Be2 Nbd7 
games: 112013, white: 50%, black: 42%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 Nbd7 6. Be2 O-O 
games: 2382, white: 46%, black: 47%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 O-O 6. Be3 Na6 7. g4
games: 12227, white: 50%, black: 43%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f4 O-O 6. Nf3 Bg4 
games: 18282, white: 49%, black: 43%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f3 O-O 6. Bg5 c5 
games: 1509, white: 43%, black: 49%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f4 O-O 6. Nf3 Nc6 7. Bd3
games: 17805, white: 49%, black: 43%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f3 O-O 6. Nge2 c5 
games: 1509, white: 43%, black: 49%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f4 Nc6 6. Nf3 O-O 7. Bd3
games: 17805, white: 49%, black: 43%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f3 c5 6. Nge2 O-O 
games: 112013, white: 50%, black: 42%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 O-O 6. Nf3 Nbd7 
games: 1467, white: 43%, black: 49%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 O-O 6. Bg5 h6 7. Bf4
games: 112013, white: 50%, black: 42%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 Nbd7 6. Nf3 O-O 
games: 1818, white: 48%, black: 47%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 c6 6. Bg5
games: 10282, white: 50%, black: 43%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 O-O 6. Be3 Nc6 
games: 991962, white: 49%, black: 42%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 O-O 6. Be2
games: 13122, white: 49%, black: 43%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 c5 6. d5
games: 10282, white: 50%, black: 43%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 Nc6 6. Be3 O-O 
games: 4544, white: 45%, black: 45%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 O-O 6. Be2 c5 7. Be3
games: 991962, white: 49%, black: 42%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 O-O 6. Nf3
games: 2193, white: 45%, black: 47%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f4 O-O 6. Nf3 Bg4 7. Bd3
games: 14390, white: 49%, black: 43%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 c5 6. d5 O-O 
games: 531537, white: 49%, black: 42%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 O-O 6. Be2 e5 
games: 12917, white: 49%, black: 43%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f4 O-O 6. Be2
games: 4544, white: 45%, black: 45%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 O-O 6. Nf3 c5 7. Be3
games: 4544, white: 45%, black: 45%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 c5 6. Nf3 O-O 7. Be3
games: 531537, white: 49%, black: 42%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 O-O 6. Nf3 e5 
games: 1186, white: 44%, black: 49%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f4 c5 6. d5 b5 7. cxb5
games: 908, white: 43%, black: 51%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 Bg4 6. h3 Bxf3 
games: 71272, white: 50%, black: 42%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f3 O-O 6. Be3 e5 
games: 87894, white: 50%, black: 42%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 O-O 6. Be2 Nbd7 7. O-O
games: 9704, white: 50%, black: 43%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 O-O 6. h3 Nc6 7. Be3
games: 87894, white: 50%, black: 42%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 Nbd7 6. Be2 O-O 7. O-O
