games: 393, white: 43%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Qb6 5. a3 Nd7 
games: 609, white: 44%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. c4 Bg7 5. cxd5 cxd5 6. e5
games: 393, white: 43%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. f3 Qb6 4. Nc3 e6 5. a3 Nd7 
games: 648, white: 45%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. Nc3 Nf6 5. Bc4 b5 6. Bb3
games: 334, white: 41%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Bb4 5. Be3 Ne7 6. Ne2
games: 648, white: 45%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. Nc3 dxe4 5. Bc4 b5 6. Bb3
games: 1525, white: 46%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Bb4 5. Bf4 Ne7 
games: 818, white: 46%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Bb4 5. Be3 Ne7 
games: 21223, white: 49%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Bb4 
games: 818, white: 46%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. Bd3 e6 5. e5 Nfd7 
games: 328, white: 42%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. c4 Bg7 5. Be3
games: 2970, white: 48%, black: 44%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. e5 Ng8 
games: 198, white: 34%, black: 55%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Be3 Bg7 5. Qd2 dxe4 
games: 374, white: 44%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. f3 Qb6 4. c4
games: 200, white: 35%, black: 55%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Be3 Bg7 5. Qd2 dxe4 6. fxe4
games: 612, white: 46%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. Nc3 Nf6 5. Bc4 b5 
games: 214, white: 39%, black: 55%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. c4 Bg7 5. cxd5 cxd5 6. Be3
games: 247, white: 42%, black: 52%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Qb6 5. Qd3
games: 4958, white: 49%, black: 44%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 e5 5. Nf3 Be6 6. c3
games: 1568, white: 47%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. c3 Bg7 
games: 926, white: 46%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Bb4 5. Ne2 Nf6 
