games: 4415, white: 47%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Nbd2, forced: 1
games: 1242, white: 45%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Be3 Qb6 , forced: 1
games: 1426, white: 45%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 c5 5. dxc5 Nc6 , forced: 1
games: 9938, white: 48%, black: 44%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 Nc6 5. Bb5 e6 , forced: 0
games: 4870, white: 48%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. e5 e6 4. f4 c5 , forced: 0
games: 570, white: 42%, black: 51%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bd7 5. c4 h5 , forced: 0
games: 6457, white: 47%, black: 44%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 cxd4 5. Nxd4 Nc6 , forced: 1
games: 42812, white: 49%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 Nc6 5. Nf3, forced: 1
games: 1478, white: 46%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 e6 5. c3 Bg6 , forced: 1
games: 16085, white: 48%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 5. Nf3 Bxc5 , forced: 1
games: 42812, white: 49%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 Nc6 5. dxc5, forced: 1
games: 760, white: 43%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. h4 h5 5. Nf3, forced: 1
games: 16085, white: 48%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 e6 5. dxc5 Bxc5 , forced: 1
games: 16085, white: 48%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. e5 e6 4. Nf3 c5 5. dxc5 Bxc5 , forced: 1
games: 2728, white: 47%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Bd3, forced: 0
games: 1671, white: 47%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Nf3 h5 , forced: 0
games: 5892, white: 49%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 e6 , forced: 1
games: 1671, white: 47%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 h5 4. Nf3 g6 , forced: 0
games: 985, white: 45%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bg6 5. f4, forced: 0
games: 5892, white: 49%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. e5 e6 4. c3 c5 , forced: 0
games: 3893, white: 48%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 e6 5. f4, forced: 1
games: 481, white: 41%, black: 51%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 a6 5. Nf3, forced: 2
games: 3893, white: 48%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. e5 e6 4. f4 c5 5. c3, forced: 0
games: 36094, white: 49%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 Nc6 5. Nf3 Bg4 , forced: 1
games: 3893, white: 48%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. e5 e6 4. c3 c5 5. f4, forced: 0
games: 456, white: 39%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Bd3 h5 5. c3 Nh6 , forced: 0
games: 36094, white: 49%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 Nc6 5. dxc5 Bg4 , forced: 1
games: 1744, white: 46%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. c4 dxc4 , forced: 2
games: 18178, white: 49%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 5. Nf3, forced: 1
games: 456, white: 39%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 h5 4. Bd3 g6 5. c3 Nh6 , forced: 0
games: 2293, white: 47%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Bf5 , forced: 1
games: 749, white: 44%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 a6 5. f4, forced: 1
games: 1721, white: 46%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. c4 Nd7 , forced: 1
games: 2357, white: 47%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. a3 cxd4 , forced: 2
games: 36094, white: 49%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 Bg4 5. dxc5 Nc6 , forced: 0
