games: 171, white: 45%, black: 21%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 Bg7 5. Qd2 c6 6. f4 O-O 7. Bd3 b5 8. Nf3
games: 171, white: 45%, black: 21%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 Bg7 5. Qd2 c6 6. f4 b5 7. Bd3 O-O 8. Nf3
games: 171, white: 45%, black: 21%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 Bg7 5. f4 c6 6. Qd2 O-O 7. Bd3 b5 8. Nf3
games: 171, white: 45%, black: 21%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 Bg7 5. f4 c6 6. Qd2 b5 7. Bd3 O-O 8. Nf3
games: 171, white: 45%, black: 21%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 c6 5. Qd2 b5 6. Bd3 Bg7 7. f4 O-O 8. Nf3
games: 171, white: 45%, black: 21%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 c6 5. Qd2 Bg7 6. f4 O-O 7. Bd3 b5 8. Nf3
games: 171, white: 45%, black: 21%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 c6 5. Qd2 Bg7 6. f4 b5 7. Bd3 O-O 8. Nf3
games: 171, white: 45%, black: 21%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 c6 5. f4 Bg7 6. Qd2 O-O 7. Bd3 b5 8. Nf3
games: 171, white: 45%, black: 21%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 c6 5. f4 Bg7 6. Qd2 b5 7. Bd3 O-O 8. Nf3
games: 168, white: 41%, black: 15%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 O-O 6. Bd3 Nc6 7. O-O Bg4 8. e5
games: 168, white: 28%, black: 24%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 O-O 6. Bd3 Nc6 7. e5 dxe5 8. dxe5 Nd5 
