games: 156, white: 58%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 c5 5. Nf3 Bf5 6. Ne5
games: 570, white: 49%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 e6 5. Nf3 Bd6 6. Bd3 Bxf4 7. exf4
games: 131, white: 60%, black: 32%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 e6 5. Qf3 c5 6. g4 Nc6 7. O-O-O
games: 1626, white: 47%, black: 44%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 c5 5. dxc5 e6 6. Bd3
games: 734, white: 48%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 c5 5. Nf3 Nc6 6. Ne5 e6 7. Nxc6
games: 570, white: 49%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 e6 5. Bd3 Bd6 6. Nf3 Bxf4 7. exf4
games: 131, white: 60%, black: 32%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 e6 5. Qf3 c5 6. O-O-O Nc6 7. g4
games: 734, white: 48%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 c5 5. Nf3 e6 6. Ne5 Nc6 7. Nxc6
games: 1589, white: 47%, black: 44%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 e6 5. Bd3 c5 6. dxc5 Bxc5 
games: 318, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 c5 5. dxc5 Qa5 6. Bxb8 Rxb8 
games: 1589, white: 47%, black: 44%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 c5 5. dxc5 e6 6. Bd3 Bxc5 
games: 124, white: 60%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 e6 5. g4 h6 6. h4 c5 7. Bg2
games: 742, white: 49%, black: 44%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. f3 Bf5 5. g4 Bg6 
games: 504, white: 50%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. f3 Bf5 5. Qd2 e6 6. g4 Bg6 
games: 1797, white: 47%, black: 45%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 e6 5. Nf3 c5 6. Bd3 Nc6 7. O-O
games: 1797, white: 47%, black: 45%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 e6 5. Bd3 c5 6. Nf3 Nc6 7. O-O
games: 188, white: 54%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 e6 5. g4 Bd6 6. Qf3 Bxf4 
games: 313, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 c5 5. dxc5 Qa5 6. Bxb8 Rxb8 7. Qd4
games: 3882, white: 46%, black: 46%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 e6 5. Bd3
games: 725, white: 49%, black: 44%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. f3 Bf5 5. g4 Bg6 6. h4
games: 1797, white: 47%, black: 45%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 c5 5. Nf3 e6 6. Bd3 Nc6 7. O-O
games: 14044, white: 45%, black: 46%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 e6 5. Nf3
games: 281, white: 52%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 c5 5. dxc5 Nc6 6. Nf3 Bg4 7. Na4
games: 483, white: 50%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. f3 Bf5 5. Qd2 e6 6. g4
games: 281, white: 52%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 c5 5. Nf3 Nc6 6. dxc5 Bg4 7. Na4
games: 17565, white: 45%, black: 47%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 c5 5. Nf3 Nc6 
games: 950, white: 48%, black: 45%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. f3 Bf5 
games: 885, white: 47%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 e6 5. Bd3 Bd6 
games: 1095, white: 47%, black: 44%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 e6 5. g4 Bb4 
games: 499, white: 50%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. f3 Bf5 5. Qd2 e6 6. g4 Bg6 7. h4
games: 6427, white: 44%, black: 45%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 c5 5. Nf3 Nc6 6. Ne5 cxd4 7. exd4
games: 6427, white: 44%, black: 45%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. e3 c5 5. Nf3 cxd4 6. exd4 Nc6 7. Ne5
games: 788, white: 48%, black: 44%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. f3 Bf5 5. g4
games: 520, white: 48%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 a6 4. f3 Bf5 5. e3 h5 
