games: 126, white: 56%, black: 38%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 Nc6 6. h4 g4 7. Ng5 h6 8. Nxf7 Kxf7 9. Bxf4 Kg7 10. Bc4 Be7 11. O-O Nf6 , forced: 0
games: 416, white: 52%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 h6 5. Bxf4, forced: 0
games: 445, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 h6 6. g3 g4 , forced: 0
games: 112, white: 59%, black: 38%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 Nc6 6. h4 g4 7. Ng5 h6 8. Nxf7 Kxf7 9. Bc4+ Ke8 , forced: 0
games: 126, white: 56%, black: 38%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 Nc6 6. h4 g4 7. Ng5 h6 8. Nxf7 Kxf7 9. Bc4+ Kg7 10. Bxf4 Be7 11. O-O Nf6 , forced: 0
games: 438, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 h6 6. Nc3 g4 7. Nh4, forced: 0
games: 438, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 h6 6. g3 g4 7. Nh4, forced: 0
games: 396, white: 52%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Be3 Be7 8. Nc3, forced: 0
games: 396, white: 52%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Be7 8. Be3, forced: 0
games: 210, white: 54%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 h6 5. h4, forced: 0
games: 2551, white: 50%, black: 44%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3, forced: 0
games: 45, white: 73%, black: 24%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 c6 8. Be3, forced: 0
games: 462, white: 51%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 h6 6. Nc3 g4 7. Nh4 f3 , forced: 0
games: 168, white: 55%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Be3 Nc6 8. Nc3 Bg7 9. Qd2 Nf6 10. O-O-O, forced: 0
games: 641, white: 50%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Be3 Nc6 8. Nc3, forced: 0
games: 462, white: 51%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 h6 6. g3 g4 7. Nh4 f3 , forced: 0
games: 168, white: 55%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Nc6 8. Be3 Bg7 9. Qd2 Nf6 10. O-O-O, forced: 0
games: 641, white: 50%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Nc6 8. Be3, forced: 0
games: 164, white: 56%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Be3 Nc6 8. Nc3 Bg7 9. Qd2 Bd7 , forced: 0
games: 164, white: 56%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Nc6 8. Be3 Bg7 9. Qd2 Bd7 , forced: 0
games: 1732, white: 50%, black: 44%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 h6 , forced: 0
games: 48, white: 68%, black: 31%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 Nc6 6. d5 Ne5 7. Bb5+ Bd7 8. Bxd7+ Nxd7 9. h4, forced: 0
games: 125, white: 56%, black: 40%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 h6 6. Nc3 g4 7. Nh4 f3 8. Be3 Bg7 9. Qd2 Ne7 , forced: 0
games: 1034, white: 50%, black: 43%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4, forced: 0
games: 125, white: 56%, black: 40%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 h6 6. g3 g4 7. Nh4 f3 8. Be3 Bg7 9. Qd2 Ne7 , forced: 0
games: 335, white: 52%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. h4 g4 6. Ng1 Bh6 7. Nc3 c6 8. Nge2 Qf6 , forced: 0
games: 56, white: 64%, black: 35%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 Nc6 6. d5 Ne5 7. Bb5+ Bd7 8. Bxd7+ Qxd7 , forced: 0
games: 151, white: 56%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Be3 Nc6 8. Nc3 Bg7 9. Qd2 Bd7 10. O-O-O, forced: 0
games: 133, white: 55%, black: 40%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Be3 Nc6 8. Nc3 Bg7 9. Qd2 Nge7 10. O-O-O h5 11. h3, forced: 0
games: 1047, white: 50%, black: 44%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 , forced: 0
games: 200, white: 51%, black: 38%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Be3 Be7 8. Nc3 Nc6 9. Qd2 Bxh4 , forced: 1
games: 292, white: 53%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 h6 6. Nc3 Bg7 , forced: 0
games: 151, white: 56%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Nc6 8. Be3 Bg7 9. Qd2 Bd7 10. O-O-O, forced: 0
games: 133, white: 55%, black: 40%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Be3 Nc6 8. Nc3 Bg7 9. Qd2 Nge7 10. h3 h5 11. O-O-O, forced: 0
games: 200, white: 51%, black: 38%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Be3 Nc6 8. Nc3 Be7 9. Qd2 Bxh4 , forced: 1
games: 384, white: 52%, black: 43%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 h6 6. Nc3 fxg3 7. hxg3, forced: 0
games: 292, white: 53%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 h6 6. g3 Bg7 , forced: 0
games: 186, white: 54%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Be3 Nc6 8. Nc3 Bg7 9. Qd2 Nf6 , forced: 0
games: 133, white: 55%, black: 40%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Bg7 8. Be3 Ne7 9. Qd2 h5 10. O-O-O Nbc6 11. h3, forced: 0
games: 675, white: 50%, black: 43%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Nc6 , forced: 0
games: 200, white: 51%, black: 38%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Be7 8. Be3 Nc6 9. Qd2 Bxh4 , forced: 1
games: 384, white: 52%, black: 43%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 h6 6. g3 fxg3 7. hxg3, forced: 0
games: 186, white: 54%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Nc6 8. Be3 Bg7 9. Qd2 Nf6 , forced: 0
games: 133, white: 55%, black: 40%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Nc6 8. Be3 Bg7 9. Qd2 Nge7 10. O-O-O h5 11. h3, forced: 0
games: 200, white: 51%, black: 38%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Nc6 8. Be3 Be7 9. Qd2 Bxh4 , forced: 1
games: 198, white: 51%, black: 38%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Be3 Be7 8. Nc3 Nc6 9. Qd2 Bxh4 10. gxh4 Qxh4+ , forced: 1
games: 133, white: 55%, black: 40%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Nc6 8. Be3 Bg7 9. Qd2 Nge7 10. h3 h5 11. O-O-O, forced: 0
games: 288, white: 52%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. h4 f6 , forced: 0
games: 106, white: 55%, black: 37%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 Nc6 6. h4 f6 , forced: 0
games: 198, white: 51%, black: 38%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Be3 Nc6 8. Nc3 Be7 9. Qd2 Bxh4 10. gxh4 Qxh4+ , forced: 1
games: 629, white: 50%, black: 43%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. h4 g4 6. Ng1 Bh6 7. Nc3, forced: 0
games: 324, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 Nc6 6. h4 g4 7. Ng5 h6 8. Nxf7 Kxf7 9. Bxf4 Kg7 10. Bc4 Nf6 , forced: 0
games: 198, white: 51%, black: 38%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Be7 8. Be3 Nc6 9. Qd2 Bxh4 10. gxh4 Qxh4+ , forced: 1
