games: 199, white: 58%, black: 36%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. c4 Nf6 6. Bxd3 Bc5 7. Qe2+ Be7 
games: 199, white: 58%, black: 36%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Bxd3 Nf6 6. c4 Bc5 7. Qe2+ Be7 
games: 21920, white: 51%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 
games: 573, white: 55%, black: 39%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 f5 5. Nc3
games: 199, white: 58%, black: 36%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. c4 Nf6 6. Bxd3 Bc5 7. Qe2+ Be7 
games: 202, white: 56%, black: 34%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Nf3
games: 1240, white: 52%, black: 40%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bc5 7. Qe2 Bf5 8. Nc3
games: 1564, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3 Nf6 6. Nc3
games: 1240, white: 52%, black: 40%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Nf3 Nxe4 7. Qe2 Bf5 8. Nc3
games: 1564, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. Nc3 Nf6 5. d4 exd3 6. Bxd3
games: 1564, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Bxd3 Nf6 6. Nc3
games: 95, white: 65%, black: 27%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nc3 Bb4 6. Bd2 Bxc3 7. Bxc3 exd3 
games: 1160, white: 52%, black: 41%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2
games: 1122, white: 51%, black: 40%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Qxd5 
games: 1122, white: 51%, black: 40%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Qe2 Nf6 
games: 118, white: 61%, black: 33%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3 Nf6 6. c4 Bc5 7. Qe2+ Kf8 8. Be3
games: 118, white: 61%, black: 33%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. c4 Nf6 6. Bxd3 Bc5 7. Qe2+ Kf8 8. Be3
games: 113, white: 61%, black: 31%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Qe2 O-O 7. Nc3
games: 113, white: 61%, black: 31%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Bc5 6. dxe4 O-O 7. Nc3
games: 118, white: 61%, black: 33%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Bxd3 Nf6 6. c4 Bc5 7. Qe2+ Kf8 8. Be3
games: 371, white: 56%, black: 40%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Nc3
games: 113, white: 61%, black: 31%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Bc5 6. Nc3 O-O 7. dxe4
games: 72, white: 75%, black: 25%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nc3 Bb4 6. Bd2 Bxc3 7. Bxc3 f6 8. Qe2
games: 118, white: 61%, black: 33%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. c4 Nf6 6. Bxd3 Bc5 7. Qe2+ Kf8 8. Be3
games: 238, white: 56%, black: 37%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3 Nf6 6. c4 Bc5 7. Qe2+ Be7 8. Nf3
games: 238, white: 56%, black: 37%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. c4 Nf6 6. Bxd3 Bc5 7. Qe2+ Be7 8. Nf3
games: 181, white: 58%, black: 37%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3 Nf6 6. Nc3 Bc5 7. Qe2+ Be7 
games: 238, white: 56%, black: 37%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Bxd3 Nf6 6. c4 Bc5 7. Qe2+ Be7 8. Nf3
games: 181, white: 58%, black: 37%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3 Bc5 6. Nc3 Nf6 7. Qe2+ Be7 
games: 238, white: 56%, black: 37%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. c4 Nf6 6. Bxd3 Bc5 7. Qe2+ Be7 8. Nf3
games: 181, white: 58%, black: 37%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. Nc3 Nf6 5. d4 exd3 6. Bxd3 Bc5 7. Qe2+ Be7 
games: 181, white: 58%, black: 37%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Bxd3 Nf6 6. Nc3 Bc5 7. Qe2+ Be7 
