games: 18963, white: 50%, black: 42%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d3, forced: 0
games: 18963, white: 50%, black: 42%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. O-O, forced: 0
games: 4248, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. Re1 Be7 6. h3, forced: 1
games: 1555, white: 52%, black: 38%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. d4 d5 , forced: 1
games: 4248, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. h3 Be7 6. Re1, forced: 1
games: 4248, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 5. Re1 d6 6. h3, forced: 2
games: 15846, white: 50%, black: 42%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. c3, forced: 0
games: 17246, white: 50%, black: 42%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Bc5 5. O-O d6 , forced: 0
games: 2677, white: 52%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 5. c3 Nxe4 6. d4, forced: 1
games: 2025, white: 52%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. c3 Be7 6. Nbd2 O-O , forced: 1
games: 530, white: 63%, black: 30%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Bb4 5. O-O d6 6. Nd5 Ba5 , forced: 0
games: 1306, white: 53%, black: 39%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. c3 Be7 6. d4, forced: 0
games: 1306, white: 53%, black: 39%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 5. c3 d6 6. d4, forced: 0
games: 9083, white: 48%, black: 39%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Nd4 5. Nxd4, forced: 1
games: 3063, white: 52%, black: 42%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 5. c3 Nxe4 , forced: 1
games: 3618, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. Re1 Be7 6. h3 O-O , forced: 2
games: 9074, white: 48%, black: 39%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Nd4 5. Nxd4 exd4 , forced: 1
games: 41065, white: 50%, black: 43%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Qe2 a6 5. Ba4, forced: 1
games: 3618, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. h3 Be7 6. Re1 O-O , forced: 2
games: 230954, white: 49%, black: 42%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3, forced: 0
games: 3618, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 5. Re1 d6 6. h3 O-O , forced: 3
games: 9999, white: 50%, black: 42%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Bxc6 dxc6 5. d3, forced: 1
games: 30617, white: 50%, black: 43%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Qe2 a6 5. Ba4 b5 , forced: 2
games: 3249, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Qe2 a6 5. Ba4 d6 6. c3, forced: 1
games: 5054, white: 50%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 5. Bxc6 dxc6 6. d3, forced: 1
games: 1952, white: 51%, black: 39%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d4 Bd7 6. Nc3 exd4 , forced: 2
