games: 423, white: 56%, black: 36%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qe3 Nf6 5. e5 Nd5 6. Qe4 Nb6 7. Nc3
games: 128, white: 73%, black: 21%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qc4 d6 5. Nc3 Nf6 6. Bf4 Be7 
games: 267, white: 59%, black: 36%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qe3 Nf6 5. Bd2 Bb4 6. Nc3 d6 7. O-O-O Qe7 8. Qg3
games: 126, white: 74%, black: 20%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qc4 Nf6 5. Nc3 d6 6. Bf4 Be7 7. O-O-O
games: 8334, white: 52%, black: 41%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qe3 Nf6 5. Bd2
games: 1350, white: 54%, black: 40%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qe3 Nf6 5. Bd2 Bb4 6. Nc3 d6 7. O-O-O Be6 
games: 267, white: 59%, black: 36%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qe3 Nf6 5. Bd2 Bb4 6. Nc3 Qe7 7. O-O-O d6 8. Qg3
games: 126, white: 74%, black: 20%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qc4 Nf6 5. Nc3 Be7 6. Bf4 d6 7. O-O-O
games: 267, white: 59%, black: 36%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qe3 Bb4+ 5. Nc3 Nf6 6. Bd2 d6 7. O-O-O Qe7 8. Qg3
games: 126, white: 74%, black: 20%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qc4 d6 5. Nc3 Nf6 6. Bf4 Be7 7. O-O-O
games: 1350, white: 54%, black: 40%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qe3 Bb4+ 5. Nc3 Nf6 6. Bd2 d6 7. O-O-O Be6 
games: 267, white: 59%, black: 36%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qe3 Bb4+ 5. Nc3 Nf6 6. Bd2 Qe7 7. O-O-O d6 8. Qg3
