games: 3301, white: 53%, black: 40%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 a6 6. f4 c5 7. Nf3 Nc6 8. Be3
games: 3901, white: 53%, black: 41%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 a6 7. Ne2 Nc6 8. c3
games: 258, white: 63%, black: 31%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nf3 b6 6. Ne2 c5 7. c3 Nc6 8. Nf4
games: 681, white: 56%, black: 37%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. c3 b6 7. Nf3 Ba6 
games: 3901, white: 53%, black: 41%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nce2 Nc6 7. Nf3 a6 8. c3
games: 369, white: 59%, black: 34%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 Be7 6. Nf3 g6 
games: 3901, white: 53%, black: 41%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 a6 6. Nf3 c5 7. Ne2 Nc6 8. c3
games: 401, white: 59%, black: 36%, forced: 0, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 Be7 6. c3
games: 681, white: 56%, black: 37%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nf3 b6 6. Ne2 c5 7. c3 Ba6 
games: 3901, white: 53%, black: 41%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 a6 6. Nce2 c5 7. c3 Nc6 8. Nf3
