games: 2844, white: 50%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h6 6. Nf3, forced: 1
games: 1002, white: 51%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nb5 Na6 5. e3 c6 , forced: 2
games: 453, white: 56%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. f3 c6 5. e4 dxe4 , forced: 1
games: 1342, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nf3 c5 , forced: 1
games: 6644, white: 49%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4, forced: 1
games: 503, white: 55%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 a6 5. h4 Bg7 6. h5 Nxh5 , forced: 3
games: 3895, white: 49%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nb5, forced: 1
games: 445, white: 55%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. f3 Bg7 5. e4 dxe4 6. fxe4 c6 , forced: 1
games: 445, white: 55%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. f3 c6 5. e4 dxe4 6. fxe4 Bg7 , forced: 2
games: 2450, white: 50%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 c6 6. Nf3, forced: 1
games: 2450, white: 50%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Nf3 c6 6. h4, forced: 2
games: 7753, white: 48%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c6 , forced: 1
games: 2450, white: 50%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 Bg7 6. Nf3, forced: 1
games: 2450, white: 50%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. Nf3 Bg7 6. h4, forced: 2
games: 577, white: 54%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 h6 5. O-O-O, forced: 0
games: 2450, white: 50%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 Bg7 5. e3 c6 6. h4, forced: 2
games: 2450, white: 50%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c6 5. e3 Bg7 6. h4, forced: 2
games: 965, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 c6 6. Nf3 Bg4 , forced: 1
games: 965, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Nf3 c6 6. h4 Bg4 , forced: 2
games: 544, white: 53%, black: 39%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h6 6. Be2, forced: 1
games: 2450, white: 50%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c6 5. h4 Bg7 6. e3, forced: 1
games: 965, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 Bg7 6. Nf3 Bg4 , forced: 1
games: 965, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. Nf3 Bg7 6. h4 Bg4 , forced: 2
games: 653, white: 52%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 a6 5. h4 h5 , forced: 1
games: 4453, white: 49%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h6 , forced: 1
games: 965, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 Bg7 5. e3 c6 6. h4 Bg4 , forced: 2
games: 3030, white: 49%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nb5 Na6 5. e3, forced: 1
games: 965, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c6 5. e3 Bg7 6. h4 Bg4 , forced: 2
games: 965, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c6 5. h4 Bg7 6. e3 Bg4 , forced: 1
games: 13548, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 , forced: 1
games: 401, white: 54%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 Bg7 5. f3 c6 6. Bh6, forced: 0
games: 2768, white: 49%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 h5 , forced: 1
games: 714, white: 53%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 Bg7 5. O-O-O h6 , forced: 0
games: 10163, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Nf3 c6 , forced: 2
games: 401, white: 54%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. f3 Bg7 5. Qd2 c6 6. Bh6, forced: 0
games: 714, white: 53%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 h6 5. O-O-O Bg7 , forced: 0
games: 10163, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. Nf3 Bg7 , forced: 2
games: 10163, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 Bg7 5. e3 c6 , forced: 2
games: 10163, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c6 5. e3 Bg7 , forced: 2
games: 4857, white: 48%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Nf3 c6 6. Be2, forced: 2
games: 4857, white: 48%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Be2 c6 6. Nf3, forced: 1
games: 4857, white: 48%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. Nf3 Bg7 6. Be2, forced: 2
games: 4857, white: 48%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. Be2 Bg7 6. Nf3, forced: 2
games: 3252, white: 49%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 Bg7 5. Nf3 c6 , forced: 0
games: 4857, white: 48%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 Bg7 5. e3 c6 6. Be2, forced: 2
games: 4857, white: 48%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c6 5. e3 Bg7 6. Be2, forced: 2
games: 3252, white: 49%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 c6 5. Nf3 Bg7 , forced: 0
games: 3252, white: 49%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 Bg7 5. Qd2 c6 , forced: 1
games: 3252, white: 49%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c6 5. Qd2 Bg7 , forced: 1
games: 2297, white: 50%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 Bg7 5. Bh6 O-O 6. O-O-O, forced: 0
games: 2297, white: 50%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 Bg7 5. O-O-O O-O 6. Bh6, forced: 0
games: 547, white: 53%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c5 5. Nb5, forced: 2
games: 1535, white: 51%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 h6 , forced: 0
games: 1481, white: 51%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 c6 5. f3, forced: 0
games: 1481, white: 51%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. f3 c6 5. Qd2, forced: 0
games: 677, white: 53%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 Bg7 5. O-O-O h6 6. f3, forced: 0
games: 677, white: 53%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 Bg7 5. f3 h6 6. O-O-O, forced: 0
games: 13548, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 , forced: 2
games: 677, white: 53%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 h6 5. O-O-O Bg7 6. f3, forced: 0
games: 677, white: 53%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. f3 Bg7 5. Qd2 h6 6. O-O-O, forced: 0
games: 5917, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Nf3 O-O 6. Be2 c6 , forced: 2
games: 404, white: 54%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 h6 5. f3, forced: 0
games: 5917, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Nf3 c6 6. Be2 O-O , forced: 2
games: 5917, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Be2 O-O 6. Nf3 c6 , forced: 1
games: 62758, white: 48%, black: 44%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3, forced: 1
games: 58826, white: 48%, black: 44%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 , forced: 1
games: 5917, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Be2 c6 6. Nf3 O-O , forced: 1
games: 3813, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nb5 Na6 , forced: 1
games: 5917, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. Nf3 Bg7 6. Be2 O-O , forced: 2
games: 5917, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. Be2 Bg7 6. Nf3 O-O , forced: 2
games: 659, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 h5 6. Nf3 Bg4 , forced: 1
games: 3583, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Nb5, forced: 2
games: 3595, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nf3 c6 , forced: 1
games: 5917, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 Bg7 5. e3 O-O 6. Be2 c6 , forced: 2
games: 5917, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 Bg7 5. e3 c6 6. Be2 O-O , forced: 2
games: 3595, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 c6 6. Nf3 h5 , forced: 1
games: 540, white: 52%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c5 5. Nb5 Na6 , forced: 2
games: 3595, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Nf3 c6 6. h4 h5 , forced: 2
games: 324, white: 56%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c5 5. h4, forced: 1
games: 5917, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c6 5. e3 Bg7 6. Be2 O-O , forced: 2
games: 351, white: 54%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c5 5. Nb5 Na6 6. c3, forced: 3
games: 3595, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 h5 6. Nf3 Bg7 , forced: 1
games: 3595, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 Bg7 6. Nf3 h5 , forced: 1
games: 3595, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. Nf3 Bg7 6. h4 h5 , forced: 2
games: 3595, white: 48%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 Bg7 5. e3 c6 6. h4 h5 , forced: 2
games: 1390, white: 50%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 a6 5. h4 Bg7 , forced: 1
