games: 514, white: 40%, black: 26%, forced: 5, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. a4 a5 
games: 514, white: 40%, black: 26%, forced: 5, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. a4 O-O 7. O-O a5 
games: 297, white: 38%, black: 25%, forced: 7, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. Re1 c6 8. a4 h6 
games: 297, white: 38%, black: 25%, forced: 5, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. a4 c6 8. Re1 h6 
games: 297, white: 38%, black: 25%, forced: 5, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. a4 O-O 7. O-O c6 8. Re1 h6 
games: 9247, white: 39%, black: 24%, forced: 0, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3
games: 239, white: 40%, black: 27%, forced: 5, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. a4 O-O 7. a5 c6 8. O-O
games: 1216, white: 36%, black: 21%, forced: 6, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. a4 a5 8. Re1 c6 9. h3
games: 152, white: 38%, black: 27%, forced: 5, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. a4 c6 8. Qe2 exd4 
games: 152, white: 38%, black: 27%, forced: 7, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. Qe2 c6 8. a4 exd4 
games: 1216, white: 36%, black: 21%, forced: 6, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. a4 a5 8. h3 c6 9. Re1
games: 65, white: 38%, black: 38%, forced: 4, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. Ng5 O-O 
games: 61, white: 21%, black: 27%, forced: 2, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. g3 Be7 6. Bg2 c6 
games: 1216, white: 36%, black: 21%, forced: 6, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. a4 O-O 7. O-O a5 8. Re1 c6 9. h3
games: 152, white: 38%, black: 27%, forced: 5, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. a4 O-O 7. O-O c6 8. Qe2 exd4 
games: 1216, white: 36%, black: 21%, forced: 6, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. a4 O-O 7. O-O a5 8. h3 c6 9. Re1
games: 61, white: 21%, black: 27%, forced: 1, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. g3 c6 6. Bg2 Be7 
games: 152, white: 38%, black: 27%, forced: 6, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. a4 c6 8. Qe2 exd4 9. Nxd4
games: 152, white: 38%, black: 27%, forced: 8, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. Qe2 c6 8. a4 exd4 9. Nxd4
games: 91, white: 36%, black: 30%, forced: 7, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. Re1 a6 8. a4 b6 9. h3 Bb7 
games: 152, white: 38%, black: 27%, forced: 6, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. a4 O-O 7. O-O c6 8. Qe2 exd4 9. Nxd4
