games: 1968, white: 36%, black: 21%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 
games: 85, white: 37%, black: 31%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Bc4 Nc6 6. Ne2 Bg4 
games: 1968, white: 36%, black: 21%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 
games: 85, white: 37%, black: 31%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Bc4 Nf6 5. d4 Bg4 6. Ne2 Nc6 
games: 85, white: 37%, black: 31%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Bc4 Nf6 5. d4 Nc6 6. Ne2 Bg4 
games: 264, white: 31%, black: 19%, forced: 5, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O-O Nbd7 
games: 281, white: 37%, black: 25%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. g3
games: 264, white: 31%, black: 19%, forced: 5, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O-O Nbd7 
games: 871, white: 36%, black: 21%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3
games: 7325, white: 39%, black: 23%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 
games: 186, white: 40%, black: 29%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Ne5 e6 8. g4
games: 505, white: 41%, black: 27%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Bc4 Nf6 
games: 186, white: 40%, black: 29%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Ne5 Bf5 7. Bc4 e6 8. g4
games: 106, white: 42%, black: 33%, forced: 4, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Ne5 e6 8. g4 Bg6 9. h4 Nbd7 
games: 186, white: 40%, black: 29%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Ne5 e6 8. g4
games: 1546, white: 38%, black: 22%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4
games: 106, white: 42%, black: 33%, forced: 3, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Ne5 Bf5 7. Bc4 e6 8. g4 Bg6 9. h4 Nbd7 
games: 1546, white: 38%, black: 22%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4
games: 1521, white: 37%, black: 21%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 
games: 186, white: 40%, black: 29%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Ne5 Bf5 7. Bc4 e6 8. g4
games: 106, white: 42%, black: 33%, forced: 4, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Ne5 e6 8. g4 Bg6 9. h4 Nbd7 
games: 246, white: 34%, black: 22%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Bf5 
games: 1521, white: 37%, black: 21%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 
games: 44, white: 25%, black: 38%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Bc4 Bg4 6. Nf3
games: 328, white: 36%, black: 22%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Bc4 Bf5 6. Nf3
games: 106, white: 42%, black: 33%, forced: 3, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Ne5 Bf5 7. Bc4 e6 8. g4 Bg6 9. h4 Nbd7 
games: 44, white: 25%, black: 38%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Bc4 Nf6 5. d4 Bg4 6. Nf3
games: 1433, white: 38%, black: 22%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 
games: 114, white: 38%, black: 29%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Bd2 Bg4 
games: 55, white: 32%, black: 29%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Bd2 Nbd7 
games: 55, white: 32%, black: 29%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Bd2 Nbd7 
games: 46, white: 23%, black: 28%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. g3 c6 
games: 46, white: 23%, black: 28%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. g3 c6 5. Bg2
games: 173, white: 35%, black: 23%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. g3 c6 5. Bg2 Nf6 
games: 644, white: 39%, black: 23%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Nf3
games: 284, white: 42%, black: 28%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Nf3 Nc6 
games: 53, white: 32%, black: 28%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Ne5 Bf5 7. g4 Be6 
games: 53, white: 32%, black: 28%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Ne5 Bf5 7. g4 Be6 
games: 101, white: 43%, black: 32%, forced: 5, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Ne5 e6 8. g4 Bg6 9. h4 Nbd7 10. Nxd7
games: 101, white: 43%, black: 32%, forced: 4, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Ne5 Bf5 7. Bc4 e6 8. g4 Bg6 9. h4 Nbd7 10. Nxd7
games: 101, white: 43%, black: 32%, forced: 5, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Ne5 e6 8. g4 Bg6 9. h4 Nbd7 10. Nxd7
games: 148, white: 30%, black: 17%, forced: 9, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O-O Nbd7 10. a3 Bxc3 11. Bxc3 Qc7 12. Ne5
games: 3252, white: 39%, black: 21%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3
games: 353, white: 39%, black: 23%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Bc4 Bf5 
games: 148, white: 30%, black: 17%, forced: 9, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O-O Nbd7 10. a3 Bxc3 11. Bxc3 Qc7 12. Ne5
games: 101, white: 43%, black: 32%, forced: 4, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Ne5 Bf5 7. Bc4 e6 8. g4 Bg6 9. h4 Nbd7 10. Nxd7
games: 59, white: 37%, black: 30%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Bc4 Bg4 6. Ne2 Nc6 7. f3
games: 1362, white: 37%, black: 19%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Bd2
games: 308, white: 44%, black: 28%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 Nc6 
games: 59, white: 37%, black: 30%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Bc4 Nc6 6. Ne2 Bg4 7. f3
games: 1362, white: 37%, black: 19%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Bd2
games: 59, white: 37%, black: 30%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Bc4 Nf6 5. d4 Bg4 6. Ne2 Nc6 7. f3
games: 624, white: 40%, black: 23%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Nf3 Nf6 
games: 48, white: 31%, black: 27%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Bd2 Bg4 6. f3 Bd7 7. Bc4
games: 48, white: 31%, black: 27%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Bd2 Bg4 6. f3 Bd7 7. Bc4 Qb6 
games: 59, white: 37%, black: 30%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Bc4 Nf6 5. d4 Nc6 6. Ne2 Bg4 7. f3
games: 83, white: 43%, black: 32%, forced: 7, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Ne5 e6 8. g4 Bg6 9. h4 Nbd7 10. Nxd7 Nxd7 11. h5
