games: 87, white: 64%, black: 27%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nc3 e6 9. Nf3 Be7 10. d5 Nb4 11. Rc1
games: 87, white: 64%, black: 27%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nf3 e6 9. Nc3 Be7 10. d5 Nb4 11. Rc1
games: 12, white: 66%, black: 33%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. a3 e6 9. Nc3 Qd7 10. Nf3 Bg4 11. c5
games: 15, white: 66%, black: 33%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 g6 8. Nf3 Bg7 9. Nc3 O-O 10. Qd2 Bg4 11. h3
games: 15, white: 66%, black: 33%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nc3 e6 9. Be2 Be7 10. Nf3 f6 11. Nh4 fxe5 
games: 12, white: 66%, black: 33%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. a3 e6 9. Nc3 Qd7 10. Nf3 Bg4 11. c5 Nd5 
games: 15, white: 66%, black: 33%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Be2 e6 9. Nc3 Be7 10. Nf3 f6 11. Nh4 fxe5 
games: 15, white: 66%, black: 33%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 g6 8. Nf3 Bg7 9. Nc3 O-O 10. Qd2 Bg4 11. h3 Bxf3 
games: 85, white: 63%, black: 31%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nf3 Bg4 9. Nbd2 e6 10. Be2
games: 69, white: 62%, black: 30%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 g6 8. Nc3 Bg7 9. Be2 O-O 10. h3
games: 23, white: 65%, black: 34%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nf3 Bg4 9. Nbd2 e6 10. Be2 Be7 11. O-O O-O 
games: 206, white: 64%, black: 33%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 g6 8. Nf3 Bg7 9. Nc3 O-O 10. Be2 Bf5 11. O-O
games: 32, white: 62%, black: 31%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nc3 e6 9. Nf3 Qd7 10. Be2 O-O-O 11. a4
games: 32, white: 62%, black: 31%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nc3 e6 9. Be2 Qd7 10. Nf3 O-O-O 11. a4
