games: 2485, white: 58%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Nbd7 5. Be2 Bxe2 6. Qxe2
games: 242, white: 58%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Bd7 5. Bxd7+ Qxd7 6. c4
games: 12, white: 58%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 Bg4 5. Nf3 e6 6. dxe6
games: 12, white: 58%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. h3 e6 6. Bd3
games: 59, white: 61%, black: 37%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 Nxc6 5. Bb5 Bf5 6. c3
games: 41, white: 60%, black: 36%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Bd7 5. Bc4 b5 
games: 25, white: 60%, black: 36%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 e5 5. Nf3 e4 
games: 58, white: 60%, black: 36%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 c6 5. h3 Bf5 6. c4
games: 58, white: 60%, black: 36%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Nf3 Nxd5 5. h3 Bf5 6. c4
games: 183, white: 60%, black: 36%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Bg4 5. Nc3 Qh5 6. h3
games: 41, white: 60%, black: 36%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd8 5. Bg5 Bg4 6. Qd3
games: 1986, white: 59%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Nc6 5. c4
games: 712, white: 59%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Nc6 5. c4 Nf6 6. d5
games: 345, white: 59%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Nc6 5. Be2 Bf5 6. O-O
games: 345, white: 59%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Bf5 5. Be2 Nc6 6. O-O
games: 785, white: 58%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nb6 5. Nf3 Nc6 6. d5
games: 149, white: 58%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. Be2 Bg4 6. h3
games: 149, white: 58%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bg4 5. Be2 g6 6. h3
games: 562, white: 58%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bf5 5. Be2 Nb4 6. Na3
games: 785, white: 58%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Nc6 5. c4 Nb6 6. d5
games: 149, white: 58%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 g6 5. Nf3 Bg4 6. h3
games: 562, white: 58%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 Bf5 5. Nf3 Nb4 6. Na3
games: 46, white: 58%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Nbd7 5. Be2 Bf5 6. Nf3
games: 43, white: 58%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qh5 5. Qxh5 Nxh5 6. Nd5
games: 125, white: 57%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 c6 5. h3 Bf5 6. Bd3
games: 205, white: 57%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 Nxc6 5. Nf3 g6 6. c3
games: 125, white: 57%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Nf3 Nxd5 5. h3 Bf5 6. Bd3
games: 181, white: 56%, black: 32%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nc3 c6 5. Bc4 Be6 6. Bb3
games: 38, white: 55%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Bd3 cxd5 5. Bf4 Bg4 6. Qc1
games: 13, white: 61%, black: 38%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 e5 5. Nf3 Bg4 
games: 18, white: 61%, black: 38%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. Bd3 Bg4 6. O-O
games: 13, white: 61%, black: 38%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bg4 5. h3 Bf5 6. a3
games: 18, white: 61%, black: 38%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Bd3 g6 5. Nf3 Bg4 6. O-O
games: 13, white: 61%, black: 38%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Bc4 g6 6. Bg5
games: 22, white: 59%, black: 36%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 e5 5. Nf3 e4 6. Ne5
games: 17, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bf5 5. a3 a5 
games: 1220, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Nc6 5. c4 Nf6 
games: 745, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Bd7 5. Be2 Bf5 
games: 959, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 e6 5. dxe6 Bxe6 
games: 959, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 e5 5. dxe6 Bxe6 
games: 297, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nf6 5. Nf3 Bg4 6. Qb3
games: 297, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bg4 5. c4 Nf6 6. Qb3
games: 17, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bg4 5. h3 Bf5 6. Bc4
games: 17, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bf5 5. Bc4 e6 6. Ne5
games: 562, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Nbd7 5. f3 Bf5 6. g4
games: 2656, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 Nxc6 5. Nf3 e5 6. Bb5
games: 2656, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 Nxc6 5. Bb5 e5 6. Nf3
games: 2656, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 e5 5. Nf3 Nxc6 6. Bb5
games: 1456, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Bd3 cxd5 5. c3 e6 6. f4
games: 1456, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c3 cxd5 5. Bd3 e6 6. f4
games: 297, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Bg4 5. c4 Qd8 6. Qb3
games: 439, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Bf5 5. Be2 e6 6. c4
games: 56, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Bc4 Nc6 6. d5
games: 167, white: 58%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd8 5. Bc4 Bf5 6. Bg5
games: 585, white: 57%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bf5 5. Be2 Nb4 
games: 585, white: 57%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 Bf5 5. Nf3 Nb4 
games: 273, white: 57%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Bd7 5. Bxd7+ Qxd7 
games: 347, white: 56%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 Nxc6 5. Nf3 e5 6. Nxe5
games: 347, white: 56%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 e5 5. Nf3 Nxc6 6. Nxe5
games: 22, white: 54%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nc3 g6 5. Ne4 Bg7 6. Bc4
games: 137, white: 59%, black: 37%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nc3 Nc6 5. Nf3 Bf5 6. Bb5
