games: 297, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. c4 c6 6. h3
games: 249, white: 57%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. c3 Be7 6. h3
games: 19, white: 57%, black: 42%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. h3 c5 6. Nc3
games: 135, white: 57%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. h3 Be7 6. Be2
games: 54, white: 57%, black: 42%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. h3 a6 6. Nbd2
games: 4111, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Bd3 Nbd7 6. Nbd2
games: 301, white: 57%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Be7 6. h3
games: 4111, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Nbd7 6. Bd3
games: 107, white: 57%, black: 39%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Qb6 6. Qc1
games: 170, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Ne4 6. Nxe4
games: 297, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. c4 Nbd7 6. h3
games: 57, white: 57%, black: 38%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. c3 Ne4 6. Bd3
games: 4983, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Ngf3 Nbd7 6. Ne5
games: 2631, white: 57%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 cxd4 6. exd4
games: 373, white: 57%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Be7 5. Bd3 Nbd7 6. c3
games: 1988, white: 57%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Be7 5. Ngf3 O-O 6. Ne5
games: 14, white: 57%, black: 42%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Be7 5. c3 O-O 6. h4
games: 373, white: 57%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Be7 5. c3 Nbd7 6. Bd3
games: 4983, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Nbd7 5. Ngf3 Bd6 6. Ne5
games: 373, white: 57%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Nbd7 5. Bd3 Be7 6. c3
games: 357, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Bd6 5. Bg3 Ne4 6. Bxe4
games: 373, white: 57%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Be7 5. Nd2 Nbd7 6. c3
games: 373, white: 57%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Be7 5. c3 Nbd7 6. Nd2
games: 54, white: 57%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Nbd7 5. Nf3 c5 6. O-O
games: 373, white: 57%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Nbd7 5. Nd2 Be7 6. c3
games: 2631, white: 57%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 cxd4 6. exd4
games: 14, white: 57%, black: 42%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Be7 5. Nd2 O-O 6. h4
games: 373, white: 57%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Be7 5. Nd2 Nbd7 6. Bd3
games: 249, white: 57%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Be7 5. Nf3 Nbd7 6. h3
games: 373, white: 57%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Be7 5. Bd3 Nbd7 6. Nd2
games: 249, white: 57%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Nbd7 5. Nf3 Be7 6. h3
games: 19, white: 57%, black: 42%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 Bd6 5. Nc3 O-O 6. Bxd6
games: 107, white: 57%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 Bd6 5. Nc3 a6 6. Nf3
games: 14, white: 57%, black: 42%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c5 5. Nf3 Qb6 6. Nc3
games: 1303, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Nc3 Be7 6. c5
games: 297, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Nf3 Nbd7 6. h3
