white: 50%, black: 33%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 e6 5. g4 Bg6 6. Nge2 c5 7. h4 Nc6 
white: 50%, black: 28%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 e6 5. g4 Bg6 6. Nge2 Ne7 7. f4 h5 
white: 50%, black: 20%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 Nc6 5. dxc5 Bg4 6. c3 e6 7. Be3 Nge7 
white: 50%, black: 28%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 c5 6. Be3 Nd7 7. c4 cxd4 8. Nxd4
white: 50%, black: 21%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Ne7 6. O-O Bg6 7. c3 Nf5 8. Qb3
white: 50%, black: 28%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 e6 5. g4 Bg6 6. Nge2 Ne7 7. f4 h5 8. f5
white: 50%, black: 16%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Nd7 6. O-O h6 7. a4 Ne7 8. a5 a6 
white: 50%, black: 20%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Nd7 6. O-O h6 7. a4 Ne7 8. a5 Bh7 
white: 50%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 c5 6. O-O Nd7 7. c4 Ne7 8. Nc3 dxc4 
white: 50%, black: 16%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 h6 6. O-O Nd7 7. a4 Ne7 8. a5 a6 
white: 50%, black: 20%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 h6 6. O-O Nd7 7. a4 Ne7 8. a5 Bh7 
white: 50%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Nd7 6. O-O Ne7 7. c3 h6 8. Nbd2 a5 9. Re1
white: 50%, black: 7%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Nd7 6. O-O Ne7 7. c3 Bg6 8. Nbd2 Nf5 9. Ne1
white: 50%, black: 13%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Nd7 6. O-O h6 7. a4 Ne7 8. a5 a6 9. b4
white: 50%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Nd7 6. O-O h6 7. c3 Ne7 8. Nbd2 a5 9. Re1
white: 50%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Nd7 6. c3 h6 7. O-O Ne7 8. Nbd2 a5 9. Re1
white: 50%, black: 7%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Ne7 6. O-O Bg6 7. c3 Nd7 8. Nbd2 Nf5 9. Ne1
white: 50%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Ne7 6. c3 h6 7. Nbd2 Nd7 8. O-O a5 9. Re1
white: 50%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 h6 6. O-O Ne7 7. Nbd2 Nd7 8. c3 a5 9. Re1
white: 50%, black: 13%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 h6 6. O-O Nd7 7. a4 Ne7 8. a5 a6 9. b4
white: 50%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 h6 6. O-O Nd7 7. c3 Ne7 8. Nbd2 a5 9. Re1
white: 50%, black: 11%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 Nc6 5. dxc5 Bg4 6. Bb5 Qa5+ 7. Nc3 e6 8. Bd2 Qc7 9. b4
white: 50%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 Nc6 5. c4 Bg4 6. cxd5 Qxd5 7. Nc3 Bxf3 8. Nxd5 Bxd1 9. Nc7+ Kd8 
white: 50%, black: 6%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Nd7 6. O-O Ne7 7. c3 Bg6 8. Nbd2 Nf5 9. Ne1 c5 10. Ndf3
white: 50%, black: 20%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 c5 6. Be3 Nd7 7. c4 cxd4 8. Nxd4 Bxb1 9. Rxb1 Bb4+ 10. Kf1
white: 50%, black: 6%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Ne7 6. O-O Bg6 7. c3 Nd7 8. Nbd2 Nf5 9. Ne1 c5 10. Ndf3
white: 50%, black: 20%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 e6 5. g4 Bg6 6. Nge2 c5 7. h4 cxd4 8. Nxd4 h5 9. f4 hxg4 10. Bb5+
white: 50%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 Nc6 5. c4 Bg4 6. cxd5 Qxd5 7. Nc3 Bxf3 8. Nxd5 Bxd1 9. Nc7+ Kd8 10. Nxa8
white: 50%, black: 20%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 c5 6. Be3 Nd7 7. c4 cxd4 8. Nxd4 Bxb1 9. Rxb1 Bb4+ 10. Kf1 Ne7 
white: 48%, black: 25%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 
white: 48%, black: 12%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Nd7 6. O-O Bg6 7. a4
white: 48%, black: 14%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 c5 6. Be3 Nd7 7. O-O
white: 48%, black: 19%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Be3 e6 5. Nd2 Nd7 6. c3 Ne7 7. f4
