games: 8226, white: 45%, black: 43%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. Be2 e6 6. d4
games: 8193, white: 44%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. exd5 exd5 6. Bd3
games: 8126, white: 45%, black: 50%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. Bc4 dxc3 6. O-O
games: 7789, white: 42%, black: 49%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d4 cxd4 5. cxd4 d5 6. exd5
games: 7734, white: 53%, black: 39%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 e6 5. d4 Nge7 6. Na3
games: 7734, white: 53%, black: 39%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Nge7 6. Na3
games: 7729, white: 50%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 d6 5. h3 e5 
games: 7647, white: 44%, black: 49%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 Bf5 5. d4 e6 
games: 7409, white: 51%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 5. cxd4 d5 
games: 7332, white: 48%, black: 45%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 d6 5. O-O
games: 7326, white: 46%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. d3 Nf6 5. Nbd2 e6 
games: 7326, white: 46%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d3 d5 5. Nbd2 e6 
games: 7326, white: 46%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d3 e6 5. Nbd2 d5 
games: 7326, white: 46%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d3 d5 5. Nbd2 Nf6 
games: 7326, white: 46%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d3 Nf6 5. Nbd2 d5 
games: 7256, white: 45%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Nf6 
games: 7219, white: 43%, black: 49%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Qc2 d6 
games: 7163, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 e6 5. d4 Qb6 6. Na3
games: 7163, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. Na3
games: 7110, white: 52%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 5. cxd4 d6 6. Nc3
games: 7110, white: 49%, black: 44%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 Bg7 5. O-O d6 
games: 7110, white: 49%, black: 44%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 d6 5. O-O Bg7 
games: 7062, white: 47%, black: 47%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4
games: 6975, white: 51%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 6. d4
games: 6967, white: 43%, black: 49%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. Be2
games: 6966, white: 58%, black: 34%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Bg4 6. dxc5
games: 6940, white: 45%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 Bg7 5. O-O e6 6. d4
games: 6905, white: 57%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4 d6 
games: 6874, white: 49%, black: 44%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 5. Bc4 Bg7 
games: 6874, white: 49%, black: 44%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 Bg7 5. d4 cxd4 
games: 6497, white: 48%, black: 44%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bd3 Nf6 
games: 6326, white: 58%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4 d6 6. Nc3
games: 6246, white: 44%, black: 48%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 e6 5. d4 Nh6 6. Bd3
games: 6246, white: 44%, black: 48%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Nh6 6. Bd3
games: 6174, white: 50%, black: 43%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 5. cxd4 Bg7 6. Bc4
games: 6174, white: 50%, black: 43%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 5. Bc4 Bg7 6. cxd4
games: 6174, white: 50%, black: 43%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 Bg7 5. d4 cxd4 6. cxd4
