games: 8581, white: 50%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 d5 5. Bg2 d4 6. Nce2 e5 
games: 8559, white: 51%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 d6 
games: 8559, white: 51%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. Nge2 Nf6 
games: 8559, white: 51%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 Nf6 5. Bg2 d6 
games: 8313, white: 50%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 d5 6. exd5
games: 8313, white: 50%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 Nf6 5. Bg2 d5 6. exd5
games: 8239, white: 51%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nf3 a6 
games: 8200, white: 51%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 d5 6. exd5 exd5 
games: 8200, white: 51%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 Nf6 5. Bg2 d5 6. exd5 exd5 
games: 8200, white: 51%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 d5 5. exd5 exd5 6. Bg2 Nf6 
games: 8175, white: 50%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nf3 a6 5. Bg2
games: 8011, white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. f4 Nge7 6. Nf3 Bg7 
games: 8011, white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nge7 5. f4 g6 6. Nf3 Bg7 
games: 8011, white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. f4 g6 5. Bg2 Nge7 6. Nf3 Bg7 
games: 8011, white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. f4 Nge7 5. Bg2 g6 6. Nf3 Bg7 
games: 7510, white: 49%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 Nf6 
games: 7007, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. d3 Be7 
games: 7007, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 Nf6 5. Bg2 Be7 
games: 6844, white: 47%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. d3 d5 6. exd5 exd5 
games: 6844, white: 47%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 d5 5. Bg2 Nf6 6. exd5 exd5 
games: 6844, white: 47%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 Nf6 5. Bg2 d5 6. exd5 exd5 
games: 6792, white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. f4 Bg7 
games: 6792, white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. f4 g6 5. Bg2 Bg7 
games: 6549, white: 52%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nge7 5. d3
games: 6549, white: 52%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 Nge7 5. Bg2
games: 6493, white: 53%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. d3 d6 6. f4 Be7 
games: 6493, white: 53%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. f4 d6 6. d3 Be7 
games: 6493, white: 53%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. d3 Nf6 6. f4 Be7 
games: 6493, white: 53%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. d3 Be7 6. f4 Nf6 
