games: 241, white: 57%, black: 34%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Rb1 O-O 10. O-O Bg4 11. Be2 b6 
games: 235, white: 48%, black: 36%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Rb1 O-O 10. O-O Bg4 11. Be2 Bxf3 
games: 233, white: 48%, black: 36%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Rb1 O-O 10. O-O Bg4 11. Be2 Bxf3 12. Bxf3
games: 232, white: 49%, black: 40%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Rb1 O-O 10. O-O Bg4 11. Be2 Bxf3 12. Bxf3 cxd4 13. cxd4 Bxd4 
games: 232, white: 49%, black: 40%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Rb1 O-O 10. O-O Bg4 11. Be2 cxd4 12. cxd4 Bxf3 13. Bxf3 Bxd4 
games: 230, white: 49%, black: 35%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Rb1 O-O 10. O-O Bg4 11. Be2 Bxf3 12. Bxf3 cxd4 
games: 224, white: 50%, black: 38%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Be2 Bg4 10. Rb1
games: 224, white: 43%, black: 46%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Be2 Qa5 10. Bd2 O-O 11. O-O Bg4 
games: 224, white: 43%, black: 46%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Be2 Qa5 10. O-O O-O 11. Bd2 Bg4 
games: 218, white: 51%, black: 40%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Nd7 9. O-O O-O 10. Bg5
games: 216, white: 50%, black: 37%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Bxd7+ Qxd7 10. O-O cxd4 11. cxd4 O-O 
games: 215, white: 51%, black: 34%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Bxd7+ Nxd7 10. O-O cxd4 11. cxd4 O-O 12. Be3
games: 215, white: 49%, black: 38%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Bxd7+ Qxd7 10. O-O cxd4 11. cxd4 Nc6 
games: 209, white: 41%, black: 38%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Bxd7+ Qxd7 10. Be3
games: 199, white: 55%, black: 36%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Rb1 Qa5 
games: 195, white: 48%, black: 34%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Nc6 9. Rb1 O-O 10. O-O cxd4 11. Bxc6 bxc6 12. cxd4 Bg4 13. Be3
games: 193, white: 55%, black: 35%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Rb1 Qa5 10. Bxd7+ Nxd7 
games: 192, white: 49%, black: 38%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Bxd7+ Nxd7 10. O-O cxd4 11. cxd4
games: 192, white: 44%, black: 38%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Nc6 9. d5 Qa5 10. Rb1 Bxc3+ 11. Bd2
games: 188, white: 49%, black: 33%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Bxd7+ Qxd7 10. O-O O-O 11. Be3 cxd4 12. cxd4 Nc6 13. d5
games: 188, white: 49%, black: 33%, pgn:1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Bb5+ Bd7 9. Bxd7+ Qxd7 10. O-O cxd4 11. cxd4 O-O 12. Be3 Nc6 13. d5
