games: 1422, white: 34%, black: 59%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nh6 8. Nc3 Nf5 9. O-O Nfxd4 10. Nxd4
games: 1422, white: 34%, black: 59%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nge7 8. Nc3 Nf5 9. O-O Nfxd4 10. Nxd4
games: 27, white: 33%, black: 59%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O f6 8. Re1 Be7 
games: 27, white: 33%, black: 59%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 f6 7. O-O Bd7 8. Re1 Be7 
games: 787, white: 33%, black: 59%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Bd7 8. O-O Nge7 9. a3 Nf5 
games: 787, white: 33%, black: 59%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Bd7 8. O-O Nh6 9. a3 Nf5 
games: 787, white: 33%, black: 59%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O cxd4 8. cxd4 Nge7 9. a3 Nf5 
games: 787, white: 33%, black: 59%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O cxd4 8. cxd4 Nh6 9. a3 Nf5 
games: 337, white: 32%, black: 59%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Bd7 8. O-O Nge7 9. a3 Nf5 10. Nc3
games: 337, white: 32%, black: 59%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Bd7 8. O-O Nh6 9. a3 Nf5 10. Nc3
games: 337, white: 32%, black: 59%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O cxd4 8. cxd4 Nge7 9. a3 Nf5 10. Nc3
games: 337, white: 32%, black: 59%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O cxd4 8. cxd4 Nh6 9. a3 Nf5 10. Nc3
games: 29, white: 41%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nh6 8. Na3 Bb4+ 9. Bd2 Bxa3 
games: 17, white: 41%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O Rc8 8. Na3 Nh6 9. Nc2 Be7 
games: 29, white: 41%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nh6 7. Na3 cxd4 8. cxd4 Bb4+ 9. Bd2 Bxa3 
games: 29, white: 41%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nh6 8. Na3 Bb4+ 9. Bd2 Bxa3 10. bxa3
games: 29, white: 41%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nh6 7. Na3 cxd4 8. cxd4 Bb4+ 9. Bd2 Bxa3 10. bxa3
games: 126, white: 36%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. a3 a5 8. O-O a4 9. Nbd2
games: 12, white: 33%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nge7 8. b3 Nf5 9. Be3 Be7 
games: 12, white: 33%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nh6 7. b3 cxd4 8. cxd4 Nf5 9. Be3 Be7 
games: 12, white: 33%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nh6 7. b3 Nf5 8. Be3 cxd4 9. cxd4 Be7 
games: 12, white: 33%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nge7 7. b3 cxd4 8. cxd4 Nf5 9. Be3 Be7 
games: 12, white: 33%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nge7 7. b3 Nf5 8. Be3 cxd4 9. cxd4 Be7 
games: 74, white: 32%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nh6 8. Nc3 Nf5 9. Kf1 Bd7 
games: 74, white: 32%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nge7 8. Nc3 Nf5 9. Kf1 Bd7 
games: 17, white: 29%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nh6 7. Bxh6 gxh6 8. Qd2 Bg7 9. Na3 cxd4 
games: 14, white: 42%, black: 57%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nge7 8. Nc3 a6 9. Na4
games: 21, white: 42%, black: 57%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nh6 7. Bxh6 gxh6 8. Qd2 Bg7 9. O-O cxd4 
games: 59, white: 38%, black: 57%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. b3 Nge7 
games: 14, white: 35%, black: 57%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 f6 8. O-O fxe5 9. Nxe5 Qxd4 
games: 14, white: 35%, black: 57%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 f6 7. O-O cxd4 8. cxd4 fxe5 9. Nxe5 Qxd4 
games: 19, white: 31%, black: 57%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. a3 a5 8. O-O a4 9. c4 cxd4 10. cxd5
games: 14, white: 28%, black: 57%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. a3 c4 8. Qc2 Nge7 
games: 143, white: 41%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. O-O
games: 167, white: 41%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. b3 cxd4 
games: 220, white: 41%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. b3 cxd4 8. cxd4
games: 81, white: 40%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. b3 Nge7 8. O-O Rc8 
games: 57, white: 40%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O Nh6 8. dxc5 Bxc5 9. Bxh6
games: 236, white: 39%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nh6 7. Bxh6 gxh6 8. Nbd2 Qxb2 
games: 2514, white: 37%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nh6 8. Nc3 Nf5 9. O-O
games: 2514, white: 37%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nge7 8. Nc3 Nf5 9. O-O
games: 274, white: 37%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nge7 8. b3 Nf5 9. Be3
games: 274, white: 37%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nh6 7. b3 cxd4 8. cxd4 Nf5 9. Be3
games: 274, white: 37%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nh6 7. b3 Nf5 8. Be3 cxd4 9. cxd4
games: 274, white: 37%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nge7 7. b3 cxd4 8. cxd4 Nf5 9. Be3
games: 274, white: 37%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nge7 7. b3 Nf5 8. Be3 cxd4 9. cxd4
games: 223, white: 36%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. b3 cxd4 8. cxd4 Rc8 9. O-O Nge7 
games: 79, white: 36%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nh6 8. Nc3 Nf5 9. Bb5 Bd7 10. O-O
games: 79, white: 36%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nge7 8. Nc3 Nf5 9. Bb5 Bd7 10. O-O
games: 46, white: 34%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 f6 7. exf6 Nxf6 8. dxc5 Bxc5 9. O-O O-O 
games: 18, white: 44%, black: 55%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Bd7 8. Nc3 Bb4 9. a3 Bxc3+ 10. bxc3
games: 321, white: 42%, black: 55%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. b3
games: 87, white: 42%, black: 55%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nge7 7. Na3 Bd7 
games: 107, white: 40%, black: 55%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Bd7 8. O-O Rc8 9. a3 Nh6 
games: 107, white: 40%, black: 55%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Bd7 8. a3 Rc8 9. O-O Nh6 
games: 107, white: 40%, black: 55%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O cxd4 8. cxd4 Rc8 9. a3 Nh6 
games: 107, white: 40%, black: 55%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O Rc8 8. a3 cxd4 9. cxd4 Nh6 
games: 107, white: 40%, black: 55%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. a3 cxd4 8. cxd4 Rc8 9. O-O Nh6 
games: 107, white: 40%, black: 55%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. a3 Rc8 8. O-O cxd4 9. cxd4 Nh6 
games: 36, white: 38%, black: 55%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. Na3 Nh6 
games: 36, white: 38%, black: 55%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nh6 7. Na3 Bd7 
games: 423, white: 38%, black: 55%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Bd7 8. O-O Nge7 9. a3
games: 423, white: 38%, black: 55%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O cxd4 8. cxd4 Nge7 9. a3
