games: 94, white: 31%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. Bd3 Nh6 8. b3 Bd7 9. Be3 Nf5 
games: 94, white: 31%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. b3 Bd7 8. Be3 Nh6 9. Bd3 Nf5 
games: 94, white: 31%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. b3 Nh6 8. Bd3 Bd7 9. Be3 Nf5 
games: 20, white: 30%, black: 55%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 a5 8. O-O a4 9. c4 cxd4 
games: 38, white: 36%, black: 60%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Be2 Nge7 8. O-O Bd7 9. h3
games: 50, white: 36%, black: 60%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 a5 8. O-O a4 9. Nbd2 cxd4 
games: 18, white: 38%, black: 61%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Be2 Nge7 8. O-O Bd7 9. Nbd2 Nc8 
games: 13, white: 38%, black: 61%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Nh6 7. b4 cxd4 8. b5 Na5 9. cxd4 Bd7 
games: 17, white: 35%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 c4 8. Be3 f6 
games: 34, white: 35%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. b3 Nh6 8. Bxh6 gxh6 
games: 126, white: 36%, black: 58%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 a5 8. O-O a4 9. Nbd2
