games: 27, white: 44%, black: 51%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. f3 Bb7 8. Nh3 Nd7 9. O-O-O Rc8 10. Kb1 e6 11. Ng5
games: 27, white: 44%, black: 51%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. f3 Bb7 8. O-O-O Nd7 9. Nh3 Rc8 10. Kb1 e6 11. Ng5
games: 27, white: 44%, black: 51%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. f3 Bb7 8. O-O-O Nd7 9. Kb1 Rc8 10. Nh3 e6 11. Ng5
games: 27, white: 44%, black: 51%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. f3 Nd7 8. Nh3 Bb7 9. O-O-O Rc8 10. Kb1 e6 11. Ng5
games: 27, white: 44%, black: 51%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. Nh3 Bb7 8. f3 Nd7 9. O-O-O Rc8 10. Kb1 e6 11. Ng5
games: 283, white: 43%, black: 50%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. f3 Nd7 8. O-O-O Nb6 
games: 16, white: 43%, black: 50%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. f3 Bb7 8. O-O-O Nd7 9. Kb1 e6 10. Nh3 Qe7 
games: 388, white: 42%, black: 49%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. Nh3 Bxh3 8. Rxh3
games: 371, white: 42%, black: 49%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. Nh3 Bxh3 8. Rxh3 Nf6 9. f3 Nbd7 
games: 31, white: 45%, black: 51%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. O-O-O Nd7 8. f4 Ngf6 
games: 35, white: 45%, black: 51%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. f3 Bb7 8. Nh3 Nd7 9. Ng5 Rc8 10. O-O-O e6 
games: 35, white: 45%, black: 51%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. f3 Bb7 8. Nh3 Nd7 9. Ng5 e6 10. O-O-O Rc8 
games: 35, white: 45%, black: 51%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. f3 Bb7 8. Nh3 Nd7 9. O-O-O Rc8 10. Ng5 e6 
games: 35, white: 45%, black: 51%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. f3 Bb7 8. O-O-O Nd7 9. Nh3 Rc8 10. Ng5 e6 
games: 35, white: 45%, black: 51%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. f3 Nd7 8. Nh3 Bb7 9. Ng5 Rc8 10. O-O-O e6 
games: 35, white: 45%, black: 51%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 h5 7. f3 Nd7 8. Nh3 Bb7 9. Ng5 e6 10. O-O-O Rc8 
