games: 3518, white: 44%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Bc4 Nc6 6. O-O
games: 53, white: 47%, black: 49%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 c6 5. h3 Qb6 
games: 2667, white: 46%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Be2
games: 19138, white: 46%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 c6 5. Qd2 b5 6. f3
games: 1684, white: 46%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Bg5 c6 6. Bc4
games: 1685, white: 46%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 c6 5. Bg5 Bg7 6. Bc4
games: 1686, white: 46%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 c6 5. Nf3 Bg7 6. Bc4
games: 86, white: 46%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 c6 5. Bxf6 exf6 6. Bc4
games: 19140, white: 46%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3 b5 6. Qd2
games: 88, white: 45%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Nbd7 5. f4 c6 
games: 1496, white: 45%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3 Qa5 
games: 741, white: 45%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 5. Be3 Nbd7 
games: 741, white: 45%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Nbd7 5. Be3 a6 
games: 2322, white: 45%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. f3 a6 6. a4
games: 285, white: 45%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 a6 5. a4 Bg7 6. Bg5
games: 2322, white: 45%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Bg7 5. Be3 a6 6. a4
games: 2322, white: 45%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 5. Be3 Bg7 6. a4
games: 261, white: 48%, black: 49%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 h6 5. Bh4 Bg7 6. f3
games: 613, white: 47%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Be2 c6 6. h4
games: 4922, white: 46%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 c6 5. Qd2 Nbd7 
games: 4922, white: 46%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Nbd7 5. Qd2 c6 
games: 219, white: 46%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 c6 5. Bg5 Qa5 
games: 2447, white: 46%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 c6 5. Qd2 Nbd7 
games: 219, white: 46%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 c6 5. Nf3 Qa5 
games: 2447, white: 46%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 Nbd7 5. Qd2 c6 
games: 232, white: 46%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 Nbd7 5. Nf3 h6 
games: 16227, white: 46%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 c5 6. d5
games: 2153, white: 46%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 c5 6. Be3
games: 786, white: 46%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Bd3 O-O 6. e5
games: 2177, white: 46%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Nf3 c6 6. Bd3
games: 2177, white: 46%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 c6 5. Nf3 Bg7 6. Bd3
games: 2177, white: 46%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Be3 c6 6. Bd3
games: 2177, white: 46%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 c6 5. Bd3 Bg7 6. Be3
