white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nf6 5. Bd3 e6 6. c3
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nf6 5. Bd3 e6 6. Bf4
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nf6 5. c3 Bg4 6. Bg5
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nf6 5. c3 e6 6. Bd3
white: 54%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Bg4 5. c4 e6 6. cxd5
white: 54%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Bg4 5. c4 Nc6 6. cxd5
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Bg4 5. c3 Nf6 6. Bg5
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 e6 5. Bd3 Nf6 6. c3
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 e6 5. Bd3 Nf6 6. Bf4
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 e6 5. c3 Nf6 6. Bd3
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nf6 5. Bd3 e6 6. Nf3
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nf6 5. Nf3 Bg4 6. Bg5
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nf6 5. Nf3 e6 6. Bd3
white: 54%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nf6 5. Bf4 Bf5 6. Qb3
white: 54%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nf6 5. h3 e6 6. Bd3
white: 54%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Bf5 5. Bf4 Nf6 6. Qb3
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Nf3 Nf6 6. Bd3
white: 54%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nc3 Nc6 5. Bd3 e6 6. Nce2
white: 53%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 a6 
white: 53%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Bf4
white: 53%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. h3 e6 
white: 53%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 a6 5. c3 Nc6 
white: 53%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. f4 Nf6 
white: 53%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nc3 Nc6 5. Bd3 e6 
white: 53%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nc6 5. Nf3 e6 6. Bf4
white: 53%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nc6 5. Bf4 e6 6. Nf3
white: 53%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. c3 e6 6. Bg5
white: 53%, black: 42%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. h3 a6 6. Bf4
white: 53%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. Nf3 e6 6. O-O
white: 53%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. Nf3 a6 6. h3
white: 53%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. Nf3 Nf6 6. O-O
white: 53%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. Nf3 Nc6 6. Bf4
