white: 58%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. d4 exd4 5. Bc4 Be7 6. O-O
white: 58%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 Be7 5. d4 exd4 6. O-O
white: 58%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 5. d4 cxd4 6. Qb3
white: 58%, black: 39%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 5. d4 Bg4 6. dxc5
white: 58%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Nf6 5. O-O d6 6. d4
white: 58%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 d6 5. Bb5 Bd7 6. O-O
white: 58%, black: 34%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 d6 5. O-O Nf6 6. d4
white: 58%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 a6 5. Bxc6 bxc6 6. d4
white: 57%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 Bf5 5. a3
white: 57%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Ng4 5. d4
white: 57%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 Nf6 5. e5
white: 57%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. d4 Nf6 5. dxe5
white: 57%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 5. d4
white: 57%, black: 28%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 e5 5. d3
white: 57%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Ng4 5. d4 cxd4 
white: 57%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4 d6 
white: 57%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 Nf6 5. Bxc6 dxc6 
white: 57%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 5. d4 cxd4 
