white: 58%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. c4 Nf6 5. Nc3 Be7 6. e5
white: 58%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Nc3 dxe4 5. fxe4 e5 6. Nf3
white: 58%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. e5 Nfd7 5. f4 Nb6 6. Nf3
white: 58%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. e5 Nfd7 5. f4 Nb6 6. c3
white: 58%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. e5 Nfd7 5. c3 c5 6. e6
white: 58%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. Nc3 e6 5. Bd3 Bb4 6. a3
white: 58%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. Be3 e6 5. e5 Ng8 6. f4
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 g6 5. Nc3
white: 57%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. c4 Nf6 5. Nc3
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Nc3 dxe4 5. fxe4
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. c4 Nf6 5. cxd5
white: 57%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. Be3 dxe4 5. fxe4
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 g6 5. Nc3 Bg7 
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Bb4 5. a3 Qa5 
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 f5 5. Bd3 Nf6 
white: 57%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. c4 Nf6 5. Nc3 dxe4 
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Nc3 dxe4 5. fxe4 Bg7 
white: 57%, black: 42%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Nc3 h5 5. Be3 dxe4 
white: 57%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. e5 Nfd7 5. c3 c5 
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. Be3 dxe4 5. fxe4 Nxe4 
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 g6 5. Nf3 Bg7 6. Nc3
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 g6 5. Nc3 Bg7 6. Nf3
white: 57%, black: 34%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 g6 5. Nc3 e5 6. d5
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 g6 5. Nc3 Nf6 6. Bg5
white: 57%, black: 42%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 g6 5. c3 e5 6. Nf3
white: 57%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 Qb6 5. c3 e5 6. Qb3
white: 57%, black: 42%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Bb4 5. Bd2 b6 6. Nge2
white: 57%, black: 31%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Nf6 5. Be3 Be7 6. e5
white: 57%, black: 32%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Nf6 5. Bg5 Qb6 6. Qd2
white: 57%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Nf6 5. Bf4 Qb6 6. a3
white: 57%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Nf6 5. Bd3 Bb4 6. Ne2
white: 57%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Nd7 5. Be3 Bb4 6. a3
white: 57%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Be3 dxe4 5. fxe4 Nf6 6. Nd2
white: 57%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Be3 dxe4 5. Nd2 Nf6 6. fxe4
white: 57%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. c4 Nf6 5. Nc3 dxe4 6. fxe4
white: 57%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. c4 Nf6 5. Nc3 Bb4 6. e5
white: 57%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. c4 Nf6 5. Nc3 Nbd7 6. e5
white: 57%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. c4 Nd7 5. Nc3 Ngf6 6. e5
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Nc3 dxe4 5. fxe4 Bg7 6. Nf3
white: 57%, black: 34%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Nc3 dxe4 5. fxe4 e5 6. d5
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Nc3 dxe4 5. fxe4 Nf6 6. Bg5
white: 57%, black: 42%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Nc3 h5 5. Be3 dxe4 6. fxe4
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Nc3 Nf6 5. Bf4 dxe4 6. fxe4
white: 57%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Nc3 Nf6 5. Bf4 Bg7 6. Qd2
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Be3 Bg7 5. Qd2 h5 6. Nc3
white: 57%, black: 42%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. c3 dxe4 5. fxe4 e5 6. Nf3
white: 57%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. c4 Nf6 5. cxd5 cxd5 6. e5
white: 57%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. f3 Qb6 4. c3 Nf6 5. e5 Nfd7 6. f4
white: 57%, black: 33%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. e5 Nfd7 5. f4 g6 6. Nf3
white: 57%, black: 31%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. Nc3 e6 5. Be3 Be7 6. e5
white: 57%, black: 32%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. Nc3 e6 5. Bg5 Qb6 6. Qd2
white: 57%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. Nc3 e6 5. Bf4 Qb6 6. a3
white: 57%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. Nc3 e6 5. Bd3 Bb4 6. Ne2
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. Nc3 g6 5. Bf4 dxe4 6. fxe4
white: 57%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. Nc3 g6 5. Bf4 Bg7 6. Qd2
white: 57%, black: 31%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. Be3 e6 5. Nc3 Be7 6. e5
white: 56%, black: 33%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. Nc3 e3 5. f4
white: 56%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. Nc3 Bf5 5. fxe4
white: 56%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Nc3 h5 5. Bg5
white: 56%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Nc3 Nf6 5. Be3
white: 56%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Be3 Nf6 5. Nc3
white: 56%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. f3 Qb6 4. Nc3 Nf6 5. Qd3
white: 56%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. f3 Nf6 4. Nc3 g6 5. Be3
white: 56%, black: 44%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 g6 5. c3 e5 
white: 56%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Nf6 5. e5 Ng8 
white: 56%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 f5 5. exf5 exf5 
white: 56%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 f5 5. Bd3 Bb4 
white: 56%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 f5 5. Be3 Nf6 
white: 56%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. c4 Nf6 5. Nc3 Bb4 
white: 56%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. c4 Nf6 5. Nc3 Nbd7 
white: 56%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. c4 Bb4+ 5. Bd2 Bxd2+ 
white: 56%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. c4 Nd7 5. Nc3 Ngf6 
