white: 45%, black: 52%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. Nf3 b5 7. a3 Bb7 
white: 45%, black: 51%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 d5 7. exd5 Nxd5 8. Nxd5 exd5 
white: 45%, black: 50%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 d5 7. O-O-O d4 8. Nb5 e5 9. Bxe5
white: 45%, black: 50%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 d5 7. O-O-O d4 8. Nb5 e5 9. Bxe5 Nxe5 
white: 45%, black: 50%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 d5 7. O-O-O d4 8. Nb5 e5 9. Bxe5 Nxe5 10. Qg3
white: 44%, black: 51%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. Nf3 b5 
white: 44%, black: 46%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. Bf4 b5 7. Nf3
white: 44%, black: 46%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. Nf3 b5 7. Bf4
white: 44%, black: 52%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 d5 7. O-O-O d4 8. Nb5
white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Nf3 a6 
white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. Nf3 Nf6 
white: 43%, black: 56%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 d6 6. Nf3 Nf6 7. Bf4 h6 
white: 42%, black: 51%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. f4 d6 
white: 42%, black: 52%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 d6 6. Nf3 a6 7. Bf4 e5 8. Bg5 Be7 
white: 42%, black: 57%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 d5 7. exd5 Nxd5 8. Nxd5 exd5 9. O-O-O Be6 
white: 41%, black: 54%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 d5 7. O-O-O d4 8. Nb5 e5 
white: 40%, black: 55%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 Bb4 7. Ne2 Qa5 
white: 40%, black: 50%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 d6 6. Nf3 a6 7. Bf4 e5 8. Bg5 Be7 9. Bxe7 Ngxe7 10. O-O-O
white: 39%, black: 50%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. Nf3 Bb4 
white: 38%, black: 38%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. a3 Qc7 
white: 37%, black: 60%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 d5 7. O-O-O d4 
white: 36%, black: 63%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 d6 6. Nf3 Nf6 7. Bf4 h6 8. O-O-O e5 
white: 36%, black: 54%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 d6 6. Nf3 a6 7. Bf4 e5 8. Bg5 Be7 9. Bxe7 Ngxe7 
white: 33%, black: 58%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. a3 b5 
