games: 46, white: 56%, black: 36%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 d6 5. Nf3 cxd4 6. Bc4 Be6 
games: 232, white: 56%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 d6 5. Nf3 cxd4 6. Qxd4 Nb6 
games: 135, white: 56%, black: 33%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 d6 5. Nf3 dxe5 6. dxe5 Bg4 
games: 155, white: 56%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 Nc6 5. Nf3 cxd4 6. cxd4 Nb6 
games: 155, white: 56%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. d4 cxd4 6. cxd4 Nb6 
games: 16, white: 56%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. g3 d6 6. Bg2 Bd7 
games: 51, white: 56%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. b4 cxb4 6. c4 Nf4 
games: 46, white: 56%, black: 36%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 d6 5. d4 cxd4 6. Bc4 Be6 
games: 232, white: 56%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 d6 5. d4 cxd4 6. Qxd4 Nb6 
games: 135, white: 56%, black: 33%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 d6 5. d4 dxe5 6. dxe5 Bg4 
games: 16, white: 56%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 d6 5. Bg2 e6 6. Nf3 Bd7 
games: 16, white: 56%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 e6 5. Nf3 d6 6. Bg2 Bd7 
games: 1455, white: 55%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. b4
games: 447, white: 55%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Qf3
games: 109, white: 55%, black: 42%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 Nc7 5. d4
games: 447, white: 55%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Qf3 e6 5. Bc4
games: 43, white: 55%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Qf3 Nb6 5. Qg3
games: 10360, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Nf3 Nc6 
games: 10360, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 Nc6 5. Nf3 e6 
games: 10360, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. d4 e6 
games: 10360, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. d4 Nc6 
games: 129, white: 55%, black: 34%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. g3 Be7 
games: 129, white: 55%, black: 34%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 e6 5. Nf3 Be7 
games: 1118, white: 55%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Nf3 d6 6. c4
games: 232, white: 55%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Nf3 b6 6. c4
games: 18, white: 55%, black: 33%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Bc4 Nb6 6. Bb5
games: 1118, white: 55%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 d6 5. Nf3 e6 6. c4
games: 1118, white: 55%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. d4 d6 6. c4
games: 232, white: 55%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. d4 b6 6. c4
games: 1118, white: 55%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 d6 5. d4 e6 6. c4
games: 18, white: 55%, black: 33%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. d4 Nb6 6. Bb5
